regimen_id,ekfc_class,mic_mg_l,published_caz_pta_pct,published_avi_attainment_pct,source,origin_class,transformation,review_state
R1,0–30,0.0625,100,72.7,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R1,0–30,0.125,100,72.7,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R1,0–30,0.25,100,72.7,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R1,0–30,0.5,100,72.7,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R1,0–30,1,94.8,72.7,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R1,0–30,2,87.8,72.7,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R1,0–30,4,61.4,72.7,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R1,0–30,8,27.4,72.7,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R2,0–30,0.0625,100,85.5,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R2,0–30,0.125,100,85.5,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R2,0–30,0.25,100,85.5,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R2,0–30,0.5,100,85.5,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R2,0–30,1,100,85.5,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R2,0–30,2,94,85.5,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R2,0–30,4,80.2,85.5,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R2,0–30,8,46.9,85.5,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R7,31–60,0.0625,100,84.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R7,31–60,0.125,100,84.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R7,31–60,0.25,100,84.1,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
