avi_ct_mg_l,mic_mg_l,n_regimens,avibactam_limiting,ceftazidime_limiting,joint_pta_min_pct,joint_pta_max_pct
1.0,2,5,0,3,92.19000000000001,99.71
1.0,4,5,0,5,68.735,94.54
1.0,8,5,0,5,35.93,68.195
2.0,2,5,4,1,91.01,98.685
2.0,4,5,0,5,68.735,94.5
2.0,8,5,0,5,35.93,68.195
4.0,2,5,5,0,74.91,89.395
4.0,4,5,4,1,67.175,88.3
4.0,8,5,0,5,35.93,68.125
6.0,2,5,5,0,58.705,75.155
6.0,4,5,5,0,57.730000000000004,75.13
6.0,8,5,0,5,35.894999999999996,65.495
8.0,2,5,5,0,44.195,61.004999999999995
8.0,4,5,5,0,44.195,61.004999999999995
8.0,8,5,4,1,35.160000000000004,56.410000000000004
