avi_ct_mg_l,regimen,ekfc_class,caz_cfr_pct,avi_weighted_pct,joint_cfr_pct
1.0,R1,0–30,93.75637203166227,99.15,93.44222955145119
1.0,R8,31–60,98.29412928759895,99.94,98.25629287598946
1.0,R10,61–90,98.47746701846964,99.91499999999999,98.42583113456462
1.0,R12,91–120,98.6628364116095,99.955,98.63839050131926
1.0,R13,121–150,98.05097625329816,99.815,97.9388654353562
2.0,R1,0–30,93.75637203166227,93.285,89.54605540897097
2.0,R8,31–60,98.29412928759895,98.745,97.29476253298154
2.0,R10,61–90,98.47746701846964,98.6,97.32576517150395
2.0,R12,91–120,98.6628364116095,98.695,97.56459102902375
2.0,R13,121–150,98.05097625329816,97.165,95.70617414248022
4.0,R1,0–30,93.75637203166227,74.92,73.50026385224272
4.0,R8,31–60,98.29412928759895,89.395,88.60091029023748
4.0,R10,61–90,98.47746701846964,88.395,87.69290237467017
4.0,R12,91–120,98.6628364116095,88.41499999999999,87.77224274406333
4.0,R13,121–150,98.05097625329816,81.19,80.51998680738788
6.0,R1,0–30,93.75637203166227,58.705,58.115897097625336
6.0,R8,31–60,98.29412928759895,75.155,74.66777044854881
6.0,R10,61–90,98.47746701846964,73.175,72.74656992084432
6.0,R12,91–120,98.6628364116095,73.07000000000001,72.67323218997363
6.0,R13,121–150,98.05097625329816,60.894999999999996,60.542664907651705
8.0,R1,0–30,93.75637203166227,46.29,45.96609498680739
8.0,R8,31–60,98.29412928759895,61.004999999999995,60.69225593667545
8.0,R10,61–90,98.47746701846964,58.220000000000006,57.94947229551452
8.0,R12,91–120,98.6628364116095,57.485,57.23378627968338
8.0,R13,121–150,98.05097625329816,44.195,43.99552770448548
