avi_ct_mg_l,regimen,ekfc_class,mic_mg_l,caz_pta_pct,avi_attainment_pct,joint_pta_pct
1.0,R1,0–30,2,92.19000000000001,99.15,92.19000000000001
1.0,R1,0–30,4,68.735,99.15,68.735
1.0,R1,0–30,8,35.93,99.15,35.93
1.0,R8,31–60,2,99.41499999999999,99.94,99.41499999999999
1.0,R8,31–60,4,91.97999999999999,99.94,91.97999999999999
1.0,R8,31–60,8,62.165000000000006,99.94,62.165000000000006
1.0,R10,61–90,2,99.575,99.91499999999999,99.575
1.0,R10,61–90,4,93.22500000000001,99.91499999999999,93.22500000000001
1.0,R10,61–90,8,65.035,99.91499999999999,65.035
1.0,R12,91–120,2,99.71,99.955,99.71
1.0,R12,91–120,4,94.54,99.955,94.54
1.0,R12,91–120,8,68.195,99.955,68.195
1.0,R13,121–150,2,99.205,99.815,99.2
1.0,R13,121–150,4,90.55499999999999,99.815,90.55499999999999
1.0,R13,121–150,8,57.330000000000005,99.815,57.330000000000005
2.0,R1,0–30,2,92.19000000000001,93.285,91.01
2.0,R1,0–30,4,68.735,93.285,68.735
2.0,R1,0–30,8,35.93,93.285,35.93
2.0,R8,31–60,2,99.41499999999999,98.745,98.63499999999999
2.0,R8,31–60,4,91.97999999999999,98.745,91.97999999999999
2.0,R8,31–60,8,62.165000000000006,98.745,62.165000000000006
2.0,R10,61–90,2,99.575,98.6,98.575
2.0,R10,61–90,4,93.22500000000001,98.6,93.205
2.0,R10,61–90,8,65.035,98.6,65.035
2.0,R12,91–120,2,99.71,98.695,98.685
2.0,R12,91–120,4,94.54,98.695,94.5
2.0,R12,91–120,8,68.195,98.695,68.195
2.0,R13,121–150,2,99.205,97.165,97.14
2.0,R13,121–150,4,90.55499999999999,97.165,90.47
2.0,R13,121–150,8,57.330000000000005,97.165,57.330000000000005
4.0,R1,0–30,2,92.19000000000001,74.92,74.91
4.0,R1,0–30,4,68.735,74.92,67.175
4.0,R1,0–30,8,35.93,74.92,35.93
4.0,R8,31–60,2,99.41499999999999,89.395,89.395
4.0,R8,31–60,4,91.97999999999999,89.395,88.3
4.0,R8,31–60,8,62.165000000000006,89.395,62.144999999999996
4.0,R10,61–90,2,99.575,88.395,88.395
4.0,R10,61–90,4,93.22500000000001,88.395,87.785
4.0,R10,61–90,8,65.035,88.395,65.02
4.0,R12,91–120,2,99.71,88.41499999999999,88.41499999999999
4.0,R12,91–120,4,94.54,88.41499999999999,88.045
4.0,R12,91–120,8,68.195,88.41499999999999,68.125
4.0,R13,121–150,2,99.205,81.19,81.19
4.0,R13,121–150,4,90.55499999999999,81.19,80.77499999999999
4.0,R13,121–150,8,57.330000000000005,81.19,57.230000000000004
6.0,R1,0–30,2,92.19000000000001,58.705,58.705
6.0,R1,0–30,4,68.735,58.705,57.730000000000004
6.0,R1,0–30,8,35.93,58.705,35.894999999999996
6.0,R8,31–60,2,99.41499999999999,75.155,75.155
6.0,R8,31–60,4,91.97999999999999,75.155,75.13
6.0,R8,31–60,8,62.165000000000006,75.155,61.3
6.0,R10,61–90,2,99.575,73.175,73.175
6.0,R10,61–90,4,93.22500000000001,73.175,73.165
6.0,R10,61–90,8,65.035,73.175,63.32
6.0,R12,91–120,2,99.71,73.07000000000001,73.07000000000001
6.0,R12,91–120,4,94.54,73.07000000000001,73.065
6.0,R12,91–120,8,68.195,73.07000000000001,65.495
6.0,R13,121–150,2,99.205,60.894999999999996,60.894999999999996
6.0,R13,121–150,4,90.55499999999999,60.894999999999996,60.894999999999996
6.0,R13,121–150,8,57.330000000000005,60.894999999999996,53.56999999999999
8.0,R1,0–30,2,92.19000000000001,46.29,46.29
8.0,R1,0–30,4,68.735,46.29,46.22
8.0,R1,0–30,8,35.93,46.29,35.160000000000004
8.0,R8,31–60,2,99.41499999999999,61.004999999999995,61.004999999999995
8.0,R8,31–60,4,91.97999999999999,61.004999999999995,61.004999999999995
8.0,R8,31–60,8,62.165000000000006,61.004999999999995,56.410000000000004
8.0,R10,61–90,2,99.575,58.220000000000006,58.220000000000006
8.0,R10,61–90,4,93.22500000000001,58.220000000000006,58.220000000000006
8.0,R10,61–90,8,65.035,58.220000000000006,55.769999999999996
8.0,R12,91–120,2,99.71,57.485,57.485
8.0,R12,91–120,4,94.54,57.485,57.485
8.0,R12,91–120,8,68.195,57.485,55.885
8.0,R13,121–150,2,99.205,44.195,44.195
8.0,R13,121–150,4,90.55499999999999,44.195,44.195
8.0,R13,121–150,8,57.330000000000005,44.195,43.015
