distribution_id,population,role,regimen,ekfc_class,dose_g,interval_h,caz_cfr_pct,avi_weighted_pct,joint_cfr_pct,toxicity_pct
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R1,0–30,0.625,12,93.75637203166227,74.92,73.50026385224272,9.28
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R1,0–30,0.625,12,95.59336864406782,74.92,73.64296610169494,9.28
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R1,0–30,0.625,12,94.44919117647059,74.92,72.1160661764706,9.28
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R1,0–30,0.625,12,98.08883333333334,74.92,74.78941666666668,9.28
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R2,0–30,0.625,8,97.11932717678101,87.395,86.31201846965699,16.185
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R2,0–30,0.625,8,97.67669491525425,87.395,86.11165254237288,16.185
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R2,0–30,0.625,8,95.90014705882353,87.395,84.31378676470588,16.185
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R2,0–30,0.625,8,99.37441666666668,87.395,87.32558333333334,16.185
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R5,31–60,0.625,8,88.39060686015831,44.98,43.894498680738785,0.22999999999999998
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R5,31–60,0.625,8,92.20396186440679,44.98,44.115254237288134,0.22999999999999998
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R5,31–60,0.625,8,92.13702205882353,44.98,43.20051470588235,0.22999999999999998
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R5,31–60,0.625,8,95.97708333333334,44.98,44.88466666666667,0.22999999999999998
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R6,31–60,1.25,12,93.06973614775725,61.004999999999995,59.88778364116095,0.855
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R6,31–60,1.25,12,95.42841101694914,61.004999999999995,59.94682203389829,0.855
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R6,31–60,1.25,12,94.30845588235293,61.004999999999995,58.66323529411764,0.855
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R6,31–60,1.25,12,98.01950000000001,61.004999999999995,60.928416666666664,0.855
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R7,31–60,1.25,8,96.88542216358839,80.35,79.36430079155674,3.73
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R7,31–60,1.25,8,97.59330508474574,80.35,79.11756355932202,3.73
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R7,31–60,1.25,8,95.70389705882351,80.35,77.35647058823528,3.73
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R7,31–60,1.25,8,99.38958333333332,80.35,80.30891666666666,3.73
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R8,31–60,2.5,12,98.29412928759895,89.395,88.60091029023748,9.16
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R8,31–60,2.5,12,98.25156779661017,89.395,88.12885593220338,9.16
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R8,31–60,2.5,12,96.12533088235294,89.395,86.13003676470588,9.16
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R8,31–60,2.5,12,99.77733333333335,89.395,89.37675,9.16
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R9,61–90,2.5,12,96.44497361477572,73.175,72.33440633245382,2.88
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R9,61–90,2.5,12,97.37705508474575,73.175,72.06889830508473,2.88
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R9,61–90,2.5,12,95.56507352941176,73.175,70.4608455882353,2.88
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R9,61–90,2.5,12,99.25725,73.175,73.14991666666667,2.88
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R10,61–90,2.5,8,98.47746701846964,88.395,87.69290237467017,10.71
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R10,61–90,2.5,8,98.33072033898306,88.395,87.17175847457628,10.71
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R10,61–90,2.5,8,96.17591911764706,88.395,85.18297794117646,10.71
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R10,61–90,2.5,8,99.82208333333334,88.395,88.38483333333332,10.71
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R11,91–120,2.5,8,97.55724274406334,78.125,77.40191292875991,5.005
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R11,91–120,2.5,8,97.91938559322035,78.125,77.00396186440679,5.005
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R11,91–120,2.5,8,95.90124999999999,78.125,75.2566544117647,5.005
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R11,91–120,2.5,8,99.59375,78.125,78.11391666666665,5.005
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R12,91–120,2.5,6,98.6628364116095,88.41499999999999,87.77224274406333,12.19
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R12,91–120,2.5,6,98.4059745762712,88.41499999999999,87.21313559322033,12.19
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R12,91–120,2.5,6,96.22511029411764,88.41499999999999,85.21536764705881,12.19
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R12,91–120,2.5,6,99.86299999999999,88.41499999999999,88.40883333333332,12.19
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R13,121–150,2.5,6,98.05097625329816,81.19,80.51998680738788,7.21
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R13,121–150,2.5,6,98.14063559322034,81.19,80.0549152542373,7.21
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,R13,121–150,2.5,6,96.05095588235294,81.19,78.22698529411764,7.21
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,R13,121–150,2.5,6,99.71958333333332,81.19,81.18308333333333,7.21
