regimen,ekfc_class,mic_mg_l,joint_pta_pct,def_a_marginal,def_b_attribution,fail_ceftazidime_only_pct,fail_avibactam_only_pct,fail_both_pct,def_c_dose,ceftazidime_needs_more_dose_pct,definitions_agree
R1,0–30,0.0625,74.9,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R1,0–30,0.125,74.9,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R1,0–30,0.25,74.9,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R1,0–30,0.5,74.9,avibactam,avibactam,0.0,99.8,0.2,avibactam,0.0,True
R1,0–30,1,74.9,avibactam,avibactam,0.0,96.6,3.4,avibactam,0.2,True
R1,0–30,2,74.9,avibactam,avibactam,0.0,68.9,31.1,avibactam,8.0,True
R1,0–30,4,67.2,ceftazidime,ceftazidime,23.6,4.8,71.7,ceftazidime,81.6,True
R1,0–30,8,35.9,ceftazidime,ceftazidime,60.9,0.0,39.1,ceftazidime,100.0,True
R1,0–30,16,14.6,ceftazidime,ceftazidime,70.6,0.0,29.4,ceftazidime,100.0,True
R1,0–30,32,5.3,ceftazidime,ceftazidime,73.5,0.0,26.5,ceftazidime,100.0,True
R1,0–30,64,2.0,ceftazidime,ceftazidime,74.4,0.0,25.6,ceftazidime,100.0,True
R8,31–60,0.0625,89.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R8,31–60,0.125,89.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R8,31–60,0.25,89.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R8,31–60,0.5,89.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R8,31–60,1,89.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R8,31–60,2,89.4,avibactam,avibactam,0.0,94.5,5.5,avibactam,0.2,True
R8,31–60,4,88.3,avibactam,avibactam,9.4,31.5,59.2,avibactam,49.6,True
R8,31–60,8,62.1,ceftazidime,ceftazidime,72.0,0.1,28.0,ceftazidime,99.8,True
R8,31–60,16,21.7,ceftazidime,ceftazidime,86.5,0.0,13.5,ceftazidime,100.0,True
R8,31–60,32,2.9,ceftazidime,ceftazidime,89.1,0.0,10.9,ceftazidime,100.0,True
R8,31–60,64,0.2,ceftazidime,ceftazidime,89.4,0.0,10.6,ceftazidime,100.0,True
R10,61–90,0.0625,88.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R10,61–90,0.125,88.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R10,61–90,0.25,88.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R10,61–90,0.5,88.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R10,61–90,1,88.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
R10,61–90,2,88.4,avibactam,avibactam,0.0,96.3,3.7,avibactam,0.0,True
R10,61–90,4,87.8,avibactam,avibactam,5.0,44.5,50.5,avibactam,33.5,True
R10,61–90,8,65.0,ceftazidime,ceftazidime,66.8,0.0,33.1,ceftazidime,99.6,True
R10,61–90,16,23.6,ceftazidime,ceftazidime,84.8,0.0,15.2,ceftazidime,100.0,True
R10,61–90,32,3.3,ceftazidime,ceftazidime,88.0,0.0,12.0,ceftazidime,100.0,True
R10,61–90,64,0.1,ceftazidime,ceftazidime,88.4,0.0,11.6,ceftazidime,100.0,True
R12,91–120,0.0625,88.4,avibactam,avibactam,0.0,100.0,0.0,avibactam,0.0,True
