rho,assay_cv_pct,accuracy_pct,sensitivity_pct,specificity_pct,ppv_pct,npv_pct,false_reassurance_pct,prevalence_attaining_pct
0.94,0.0,94.1,97.2,77.0,95.8,83.6,3.6,84.5
0.94,10.0,93.5,96.8,75.9,95.6,81.1,3.7,84.5
0.94,20.0,92.1,95.5,74.0,95.2,75.0,4.0,84.5
0.75,0.0,88.7,96.5,46.6,90.8,70.7,8.3,84.5
0.75,10.0,88.5,96.2,46.6,90.8,69.5,8.3,84.5
0.75,20.0,88.1,95.6,47.2,90.8,66.2,8.2,84.5
0.5,0.0,85.8,97.7,21.4,87.1,63.2,12.3,84.4
0.5,10.0,85.7,97.6,21.6,87.1,62.4,12.2,84.4
0.5,20.0,85.7,97.4,22.4,87.2,61.1,12.1,84.4
0.0,0.0,84.5,98.3,10.5,85.5,53.0,14.0,84.3
0.0,10.0,84.5,98.3,10.5,85.5,53.0,14.0,84.3
0.0,20.0,84.5,98.3,10.5,85.5,53.0,14.0,84.3
