ekfc_class,mic_mg_l,placeable_pct,distinct_values
0–30,4.0,100.0,1
0–30,8.0,100.0,1
0–30,16.0,100.0,1
0–30,22.0,100.0,1
0–30,23.0,0.0,1
0–30,32.0,0.0,1
31–60,4.0,100.0,1
31–60,8.0,100.0,1
31–60,16.0,100.0,1
31–60,22.0,100.0,1
31–60,23.0,0.0,1
31–60,32.0,0.0,1
61–90,4.0,100.0,1
61–90,8.0,100.0,1
61–90,16.0,100.0,1
61–90,22.0,100.0,1
61–90,23.0,0.0,1
61–90,32.0,0.0,1
91–120,4.0,100.0,1
91–120,8.0,100.0,1
91–120,16.0,100.0,1
91–120,22.0,100.0,1
91–120,23.0,0.0,1
91–120,32.0,0.0,1
121–150,4.0,100.0,1
121–150,8.0,100.0,1
121–150,16.0,100.0,1
121–150,22.0,100.0,1
121–150,23.0,0.0,1
121–150,32.0,0.0,1
