ekfc_class,daily_dose_g,licensed,mic_mg_l,caz_pta_pct,avi_attainment_pct,joint_pta_pct,exceedance_pct,median_css_caz
0–30,1.25,yes,4.0,68.735,74.92,67.175,9.28,27.589939791547167
0–30,1.875,yes,4.0,84.71,87.395,83.23,16.185,41.38490968732076
0–30,2.5,yes,4.0,92.19000000000001,93.285,91.01,23.805,55.17987958309433
0–30,3.75,yes,4.0,97.72,97.735,97.09,39.39,82.76981937464151
0–30,5.0,yes,4.0,99.155,99.15,98.845,52.945,110.35975916618867
0–30,7.5,yes,4.0,99.885,99.82,99.78,72.375,165.53963874928303
0–30,10.0,yes,4.0,99.945,99.955,99.92999999999999,83.435,220.71951833237733
0–30,12.5,no,4.0,99.99,99.985,99.98,90.01,275.8993979154717
0–30,15.0,no,4.0,100.0,99.99,99.99,93.705,331.07927749856606
0–30,17.5,no,4.0,100.0,100.0,100.0,95.99,386.2591570816604
0–30,20.0,no,4.0,100.0,100.0,100.0,97.42,441.43903666475467
0–30,22.5,no,4.0,100.0,100.0,100.0,98.34,496.61891624784903
0–30,25.0,no,4.0,100.0,100.0,100.0,98.8,551.7987958309434
0–30,27.5,no,4.0,100.0,100.0,100.0,99.15,606.9786754140378
0–30,30.0,no,4.0,100.0,100.0,100.0,99.36,662.1585549971321
31–60,1.25,yes,4.0,21.705,23.830000000000002,18.38,0.025,11.477762892404932
31–60,1.875,yes,4.0,44.315,44.98,39.26,0.22999999999999998,17.2166443386074
31–60,2.5,yes,4.0,62.165000000000006,61.004999999999995,56.410000000000004,0.855,22.955525784809865
31–60,3.75,yes,4.0,82.875,80.35,77.885,3.73,34.4332886772148
31–60,5.0,yes,4.0,91.97999999999999,89.395,88.3,9.16,45.91105156961973
31–60,7.5,yes,4.0,97.925,96.665,96.315,25.655,68.8665773544296
31–60,10.0,yes,4.0,99.41499999999999,98.745,98.63499999999999,42.135,91.82210313923946
31–60,12.5,no,4.0,99.78,99.49,99.45,56.05,114.77762892404932
31–60,15.0,no,4.0,99.945,99.795,99.785,67.35,137.7331547088592
31–60,17.5,no,4.0,99.98,99.89,99.88,74.91499999999999,160.68868049366904
31–60,20.0,no,4.0,99.995,99.94,99.935,81.315,183.64420627847892
31–60,22.5,no,4.0,100.0,99.985,99.985,85.93499999999999,206.59973206328877
31–60,25.0,no,4.0,100.0,99.99,99.99,89.435,229.55525784809865
31–60,27.5,no,4.0,100.0,99.995,99.995,91.86,252.5107836329085
31–60,30.0,no,4.0,100.0,99.995,99.995,93.77,275.4663094177184
61–90,1.25,yes,4.0,8.43,8.265,6.175,0.0,7.99855822635663
61–90,1.875,yes,4.0,23.615,21.765,18.4,0.045,11.997837339534946
61–90,2.5,yes,4.0,40.044999999999995,35.445,32.305,0.075,15.99711645271326
61–90,3.75,yes,4.0,65.035,58.220000000000006,55.769999999999996,0.91,23.995674679069893
61–90,5.0,yes,4.0,80.035,73.175,71.67,2.88,31.99423290542652
61–90,7.5,yes,4.0,93.22500000000001,88.395,87.785,10.71,47.991349358139786
61–90,10.0,yes,4.0,97.39999999999999,94.705,94.48,21.945,63.98846581085304
61–90,12.5,no,4.0,98.935,97.355,97.265,34.0,79.98558226356631
61–90,15.0,no,4.0,99.575,98.6,98.575,45.050000000000004,95.98269871627957
61–90,17.5,no,4.0,99.795,99.165,99.14500000000001,54.855,111.97981516899284
61–90,20.0,no,4.0,99.92,99.56,99.55000000000001,62.955000000000005,127.97693162170609
61–90,22.5,no,4.0,99.95,99.74,99.74,69.755,143.97404807441936
61–90,25.0,no,4.0,99.97,99.82,99.815,75.24,159.97116452713263
61–90,27.5,no,4.0,99.99,99.87,99.87,79.755,175.96828097984587
61–90,30.0,no,4.0,99.995,99.91499999999999,99.91499999999999,83.49,191.96539743255914
91–120,1.25,yes,4.0,3.7249999999999996,3.17,2.385,0.0,6.339834675014325
91–120,1.875,yes,4.0,13.345,10.71,9.08,0.0,9.509752012521487
