regimen,ekfc_class,dose_g,interval_h,daily_dose_g,median_caz_css,caz_css_p5,caz_css_p95,median_avi_css,avi_css_p5,avi_css_p95,avi_attainment_pct,toxicity_pct
R1,0–30,0.625,12,1.25,27.589939791547167,8.0313097099258,157.98351796186316,7.937448230175757,1.9354590666646432,69.87847965033872,74.92,9.28
R2,0–30,0.625,8,1.875,41.38490968732076,12.0469645648887,236.97527694279475,11.906172345263638,2.9031885999969647,104.8177194755081,87.395,16.185
R5,31–60,0.625,8,1.875,17.2166443386074,6.08655734748918,47.40446160967949,3.9778480896244504,1.2395350769638571,12.484956984179187,44.98,0.22999999999999998
R6,31–60,1.25,12,2.5,22.955525784809865,8.11540979665224,63.20594881290597,5.303797452832599,1.6527134359518094,16.646609312238915,61.004999999999995,0.855
R7,31–60,1.25,8,3.75,34.4332886772148,12.17311469497836,94.80892321935897,7.955696179248901,2.4790701539277142,24.969913968358373,80.35,3.73
R8,31–60,2.5,12,5.0,45.91105156961973,16.23081959330448,126.41189762581195,10.607594905665199,3.305426871903619,33.29321862447783,89.395,9.16
R9,61–90,2.5,12,5.0,31.99423290542652,11.437070989379093,89.50403490051444,6.729222033739372,2.1389999258754577,20.649791300865594,73.175,2.88
R10,61–90,2.5,8,7.5,47.991349358139786,17.155606484068638,134.25605235077168,10.09383305060906,3.2084998888131873,30.974686951298395,88.395,10.71
R11,91–120,2.5,8,7.5,38.03900805008595,13.732398140406756,104.02942257401463,7.423551473002766,2.392690168293268,22.76006022674783,78.125,5.005
R12,91–120,2.5,6,10.0,50.7186774001146,18.309864187209005,138.70589676535283,9.898068630670354,3.190253557724357,30.3467469689971,88.41499999999999,12.19
R13,121–150,2.5,6,10.0,42.186102863898086,15.399620023537373,116.7865441113315,7.86653550494695,2.560566958592318,24.47066948759982,81.19,7.21
