regimen,ekfc_class,product_dose_g,interval_h,daily_dose_g,joint_pta_mic2_pct,joint_pta_mic4_pct,joint_pta_mic8_pct,caz_cfr_pct,joint_cfr_pct,toxicity_pct,permissible,selected
R1,0–30,0.625,12,1.25,74.9,67.2,35.9,93.8,73.5,9.3,yes,yes
R2,0–30,0.625,8,1.875,87.4,83.2,54.7,97.1,86.3,16.2,no,no
R5,31–60,0.625,8,1.875,45.0,39.3,10.1,88.4,43.9,0.2,yes,no
R6,31–60,1.25,12,2.5,61.0,56.4,21.7,93.1,59.9,0.9,yes,no
R7,31–60,1.25,8,3.75,80.4,77.9,44.3,96.9,79.4,3.7,yes,no
R8,31–60,2.5,12,5.0,89.4,88.3,62.1,98.3,88.6,9.2,yes,yes
R9,61–90,2.5,12,5.0,73.2,71.7,40.0,96.4,72.3,2.9,yes,no
R10,61–90,2.5,8,7.5,88.4,87.8,65.0,98.5,87.7,10.7,yes,yes
R11,91–120,2.5,8,7.5,78.1,77.5,50.7,97.6,77.4,5.0,yes,no
R12,91–120,2.5,6,10.0,88.4,88.0,68.1,98.7,87.8,12.2,yes,yes
R13,121–150,2.5,6,10.0,81.2,80.8,57.2,98.1,80.5,7.2,yes,yes
