scenario,max_abs_delta_joint_cfr_pp,mean_abs_delta_joint_cfr_pp,max_abs_delta_joint_pta_mic4_pp,max_abs_delta_toxicity_pp,direction,rank
AVI_CT_6,20.28808333333334,15.91794182337004,19.879999999999995,0.0,LOWER JOINT ATTAINMENT,1
AVI_CT_2,17.745166666666663,12.244159121037288,9.695000000000007,0.0,HIGHER JOINT ATTAINMENT,2
AVI_CL_HIGH,8.304249999999996,6.359719017178894,7.964999999999989,0.0,LOWER JOINT ATTAINMENT,3
AVI_CL_LOW,7.44341666666665,5.812228354497848,6.1200000000000045,0.0,HIGHER JOINT ATTAINMENT,4
IIV_LOW,5.115083333333331,4.187129683229331,5.415000000000006,5.1049999999999995,HIGHER JOINT ATTAINMENT,5
IIV_HIGH,4.350583333333319,3.6385715054703973,4.680000000000007,4.485000000000001,LOWER JOINT ATTAINMENT,6
RHO_000,2.931424802110797,0.7673764542783246,12.115000000000002,0.0,LOWER JOINT ATTAINMENT,7
FU_AVI_LOW,2.3870000000000005,1.7711487324251933,2.2099999999999937,0.0,LOWER JOINT ATTAINMENT,8
CAZ_TARGET_6,2.061068601583102,0.5455397127713191,18.239999999999995,0.0,LOWER JOINT ATTAINMENT,9
FU_AVI_HIGH,1.9772500000000122,1.5634272505537488,1.815000000000012,0.0,HIGHER JOINT ATTAINMENT,10
RHO_050,1.3547757255936403,0.396650930700644,6.794999999999995,0.0,LOWER JOINT ATTAINMENT,11
CAZ_TARGET_2,1.0505277044855035,0.2981638334063298,7.734999999999999,0.0,HIGHER JOINT ATTAINMENT,12
CAZ_CL_HIGH,0.7860554089709666,0.1718892247345515,7.914999999999992,5.065,LOWER JOINT ATTAINMENT,13
CAZ_CL_LOW,0.5895250659630875,0.1254926700987639,5.525000000000006,9.01,HIGHER JOINT ATTAINMENT,14
FU_CAZ_LOW,0.22945910290236782,0.04731536960688132,2.325000000000003,0.0,LOWER JOINT ATTAINMENT,15
FU_CAZ_HIGH,0.17919525065964592,0.03767321467325999,1.7800000000000011,0.0,HIGHER JOINT ATTAINMENT,16
BASE,0.0,0.0,0.0,0.0,BASELINE,17
TOX_80,0.0,0.0,0.0,11.005,HIGHER JOINT ATTAINMENT,18
TOX_128,0.0,0.0,0.0,5.635,HIGHER JOINT ATTAINMENT,19
