ekfc_class,mic_mg_l,in_window_any_dose_pct,in_window_within_licensed_pct,median_daily_product_needed_g,p90_daily_product_needed_g
0–30,4.0,100.0,99.9,0.87,2.39
0–30,8.0,100.0,99.2,1.71,4.52
0–30,16.0,100.0,92.2,3.41,9.05
31–60,4.0,100.0,98.6,2.25,5.33
31–60,8.0,100.0,92.0,4.1,9.22
31–60,16.0,100.0,62.2,8.2,18.45
61–90,4.0,100.0,94.5,3.38,8.1
61–90,8.0,100.0,80.0,5.88,13.13
61–90,16.0,100.0,40.0,11.77,26.25
91–120,4.0,100.0,88.0,4.53,10.71
91–120,8.0,100.0,68.1,7.42,16.54
91–120,16.0,100.0,26.0,14.85,33.01
121–150,4.0,100.0,80.8,5.62,13.24
121–150,8.0,100.0,57.2,8.94,19.66
121–150,16.0,100.0,17.5,17.85,39.18
