scenario,scenario_label,caz_elf_to_plasma_ratio,avi_elf_to_plasma_ratio,regimen,ekfc_class,joint_pta_mic4_pct,joint_pta_mic8_pct,joint_cfr_pct
plasma,Plasma,1.0,1.0,R1,0–30,67.2,35.9,73.5
plasma,Plasma,1.0,1.0,R8,31–60,88.3,62.1,88.6
plasma,Plasma,1.0,1.0,R10,61–90,87.8,65.0,87.7
plasma,Plasma,1.0,1.0,R12,91–120,88.0,68.1,87.8
plasma,Plasma,1.0,1.0,R13,121–150,80.8,57.2,80.5
icu_trial,"ELF, ICU pneumonia trial",0.41,0.44,R1,0–30,27.7,11.0,39.4
icu_trial,"ELF, ICU pneumonia trial",0.41,0.44,R8,31–60,46.2,13.2,52.4
icu_trial,"ELF, ICU pneumonia trial",0.41,0.44,R10,61–90,46.7,14.9,50.2
icu_trial,"ELF, ICU pneumonia trial",0.41,0.44,R12,91–120,47.1,16.8,49.2
icu_trial,"ELF, ICU pneumonia trial",0.41,0.44,R13,121–150,34.8,10.4,36.6
healthy_volunteer,"ELF, healthy-volunteer estimate",0.52,0.42,R1,0–30,34.6,15.3,38.5
healthy_volunteer,"ELF, healthy-volunteer estimate",0.52,0.42,R8,31–60,50.2,23.5,50.7
healthy_volunteer,"ELF, healthy-volunteer estimate",0.52,0.42,R10,61–90,48.2,25.4,48.0
healthy_volunteer,"ELF, healthy-volunteer estimate",0.52,0.42,R12,91–120,47.4,27.7,47.1
healthy_volunteer,"ELF, healthy-volunteer estimate",0.52,0.42,R13,121–150,34.6,18.9,34.4
conservative,"ELF, conservative scenario",0.3,0.3,R1,0–30,18.4,7.0,26.8
conservative,"ELF, conservative scenario",0.3,0.3,R8,31–60,26.9,5.2,31.6
conservative,"ELF, conservative scenario",0.3,0.3,R10,61–90,26.7,6.2,29.2
conservative,"ELF, conservative scenario",0.3,0.3,R12,91–120,26.7,7.0,28.1
conservative,"ELF, conservative scenario",0.3,0.3,R13,121–150,17.2,3.8,18.2
