scenario,ekfc_class,mic_mg_l,median_daily_product_needed_g,within_10_g_day_modelled_cap_pct
plasma,0–30,4.0,0.87,99.9
plasma,0–30,8.0,1.71,99.2
plasma,0–30,16.0,3.41,92.2
plasma,31–60,4.0,2.25,98.6
plasma,31–60,8.0,4.1,92.0
plasma,31–60,16.0,8.2,62.2
plasma,61–90,4.0,3.38,94.5
plasma,61–90,8.0,5.88,80.0
plasma,61–90,16.0,11.77,40.0
plasma,91–120,4.0,4.53,88.0
plasma,91–120,8.0,7.42,68.1
plasma,91–120,16.0,14.85,26.0
plasma,121–150,4.0,5.62,80.8
plasma,121–150,8.0,8.94,57.2
plasma,121–150,16.0,17.85,17.5
icu_trial,0–30,4.0,2.11,98.1
icu_trial,0–30,8.0,4.16,87.3
icu_trial,0–30,16.0,8.32,58.8
icu_trial,31–60,4.0,5.32,83.1
icu_trial,31–60,8.0,10.0,50.0
icu_trial,31–60,16.0,20.0,13.2
icu_trial,61–90,4.0,7.92,63.7
icu_trial,61–90,8.0,14.35,28.3
icu_trial,61–90,16.0,28.7,4.6
icu_trial,91–120,4.0,10.5,47.1
icu_trial,91–120,8.0,18.11,16.8
icu_trial,91–120,16.0,36.21,1.8
icu_trial,121–150,4.0,12.99,34.8
icu_trial,121–150,8.0,21.78,10.4
icu_trial,121–150,16.0,43.53,0.8
