ekfc_class,regimen,mic_mg_l,metric,mean,sd,min,max,range_pp
0–30,R1,4,CAZ PTA,68.23100000000001,0.5341745969250106,67.69500000000001,68.795,1.0999999999999943
0–30,R1,4,AVI attainment,74.548,0.33861113389845726,74.14500000000001,74.92,0.7749999999999915
0–30,R1,4,Joint PTA,66.74,0.5332330634910035,66.135,67.4,1.2650000000000006
0–30,R1,4,Toxicity,9.322000000000001,0.29458869632081985,8.945,9.700000000000001,0.7550000000000008
0–30,R1,8,CAZ PTA,35.882,0.47879536338606954,35.195,36.464999999999996,1.269999999999996
0–30,R1,8,AVI attainment,74.548,0.33861113389845726,74.14500000000001,74.92,0.7749999999999915
0–30,R1,8,Joint PTA,35.882,0.47879536338606954,35.195,36.464999999999996,1.269999999999996
0–30,R1,8,Toxicity,9.322000000000001,0.29458869632081985,8.945,9.700000000000001,0.7550000000000008
0–30,R2,4,CAZ PTA,84.49299999999998,0.2408993565786363,84.1,84.71,0.6099999999999994
0–30,R2,4,AVI attainment,87.21900000000001,0.22661641599848362,86.85000000000001,87.41,0.5599999999999881
0–30,R2,4,Joint PTA,83.044,0.24283224662305417,82.64,83.23,0.5900000000000034
0–30,R2,4,Toxicity,16.436,0.34685011171974545,15.985,16.814999999999998,0.8299999999999983
0–30,R2,8,CAZ PTA,54.43299999999999,0.42954336218826383,53.845,54.964999999999996,1.1199999999999974
0–30,R2,8,AVI attainment,87.21900000000001,0.22661641599848362,86.85000000000001,87.41,0.5599999999999881
0–30,R2,8,Joint PTA,54.43299999999999,0.42954336218826383,53.845,54.964999999999996,1.1199999999999974
0–30,R2,8,Toxicity,16.436,0.34685011171974545,15.985,16.814999999999998,0.8299999999999983
31–60,R5,4,CAZ PTA,43.967999999999996,0.27499090894064016,43.69,44.315,0.625
31–60,R5,4,AVI attainment,44.606,0.44355664801691214,44.035000000000004,45.105000000000004,1.0700000000000003
31–60,R5,4,Joint PTA,38.848,0.34947460565826544,38.33,39.26,0.9299999999999997
31–60,R5,4,Toxicity,0.192,0.029283100928692636,0.155,0.22999999999999998,0.07499999999999998
31–60,R5,8,CAZ PTA,10.479,0.21223218417572773,10.135,10.67,0.5350000000000001
31–60,R5,8,AVI attainment,44.606,0.44355664801691214,44.035000000000004,45.105000000000004,1.0700000000000003
31–60,R5,8,Joint PTA,10.478,0.21111608181282623,10.135,10.665,0.5299999999999994
31–60,R5,8,Toxicity,0.192,0.029283100928692636,0.155,0.22999999999999998,0.07499999999999998
31–60,R6,4,CAZ PTA,62.137,0.30080309173942854,61.79,62.544999999999995,0.7549999999999955
31–60,R6,4,AVI attainment,60.86899999999999,0.35751573391950064,60.405,61.22,0.8149999999999977
31–60,R6,4,Joint PTA,56.25699999999999,0.3317679912227842,55.83,56.55,0.7199999999999989
31–60,R6,4,Toxicity,0.7969999999999999,0.038177218337642135,0.76,0.855,0.09499999999999997
31–60,R6,8,CAZ PTA,21.363999999999997,0.24656135139149474,21.029999999999998,21.705,0.6750000000000007
31–60,R6,8,AVI attainment,60.86899999999999,0.35751573391950064,60.405,61.22,0.8149999999999977
