ekfc_class,regimen,mic_mg_l,licensed_joint_pta_pct,licensed_exceedance_pct,limiting_component,in_window_any_dose_pct,median_placing_dose_g_day,p90_placing_dose_g_day,placing_dose_within_licensed_pct,action
0–30,R1,0.0625,74.9,9.3,avibactam,100.0,0.68,2.08,100.0,measure and titrate within the licensed range
0–30,R1,0.125,74.9,9.3,avibactam,100.0,0.68,2.08,100.0,measure and titrate within the licensed range
0–30,R1,0.25,74.9,9.3,avibactam,100.0,0.68,2.08,100.0,measure and titrate within the licensed range
0–30,R1,0.5,74.9,9.3,avibactam,100.0,0.68,2.08,100.0,measure and titrate within the licensed range
0–30,R1,1,74.9,9.3,avibactam,100.0,0.68,2.08,100.0,measure and titrate within the licensed range
0–30,R1,2,74.9,9.3,avibactam,100.0,0.69,2.08,100.0,measure and titrate within the licensed range
0–30,R1,4,67.2,9.3,ceftazidime,100.0,0.87,2.39,99.9,measure and titrate within the licensed range
0–30,R1,8,35.9,9.3,ceftazidime,100.0,1.71,4.52,99.2,measure and titrate within the licensed range
0–30,R1,16,14.6,9.3,ceftazidime,100.0,3.41,9.05,92.2,measure and titrate within the licensed range
0–30,R1,32,5.3,9.3,ceftazidime,0.0,6.82,18.09,0.0,outside the window at any dose; use a different agent
0–30,R1,64,2.0,9.3,ceftazidime,0.0,13.65,36.19,0.0,outside the window at any dose; use a different agent
31–60,R8,0.0625,89.4,9.2,avibactam,100.0,2.05,5.13,98.7,measure and titrate within the licensed range
31–60,R8,0.125,89.4,9.2,avibactam,100.0,2.05,5.13,98.7,measure and titrate within the licensed range
31–60,R8,0.25,89.4,9.2,avibactam,100.0,2.05,5.13,98.7,measure and titrate within the licensed range
31–60,R8,0.5,89.4,9.2,avibactam,100.0,2.05,5.13,98.7,measure and titrate within the licensed range
31–60,R8,1,89.4,9.2,avibactam,100.0,2.05,5.13,98.7,measure and titrate within the licensed range
31–60,R8,2,89.4,9.2,avibactam,100.0,2.05,5.13,98.7,measure and titrate within the licensed range
