scenario,regimen,ekfc_class,dose_g,interval_h,mic_mg_l,caz_pta_pct,avi_attainment_pct,joint_pta_pct,toxicity_pct
BASE,R1,0–30,0.625,12,0.0625,100.0,74.92,74.92,9.28
BASE,R1,0–30,0.625,12,0.125,100.0,74.92,74.92,9.28
BASE,R1,0–30,0.625,12,0.25,100.0,74.92,74.92,9.28
BASE,R1,0–30,0.625,12,0.5,99.945,74.92,74.92,9.28
BASE,R1,0–30,0.625,12,1,99.155,74.92,74.92,9.28
BASE,R1,0–30,0.625,12,2,92.19000000000001,74.92,74.91,9.28
BASE,R1,0–30,0.625,12,4,68.735,74.92,67.175,9.28
BASE,R1,0–30,0.625,12,8,35.93,74.92,35.93,9.28
BASE,R1,0–30,0.625,12,16,14.549999999999999,74.92,14.549999999999999,9.28
BASE,R1,0–30,0.625,12,32,5.28,74.92,5.28,9.28
BASE,R1,0–30,0.625,12,64,2.03,74.92,2.03,9.28
BASE,R2,0–30,0.625,8,0.0625,100.0,87.395,87.395,16.185
BASE,R2,0–30,0.625,8,0.125,100.0,87.395,87.395,16.185
BASE,R2,0–30,0.625,8,0.25,100.0,87.395,87.395,16.185
BASE,R2,0–30,0.625,8,0.5,100.0,87.395,87.395,16.185
BASE,R2,0–30,0.625,8,1,99.885,87.395,87.395,16.185
BASE,R2,0–30,0.625,8,2,97.72,87.395,87.395,16.185
BASE,R2,0–30,0.625,8,4,84.71,87.395,83.23,16.185
BASE,R2,0–30,0.625,8,8,54.67999999999999,87.395,54.67999999999999,16.185
BASE,R2,0–30,0.625,8,16,24.865000000000002,87.395,24.865000000000002,16.185
BASE,R2,0–30,0.625,8,32,9.790000000000001,87.395,9.790000000000001,16.185
BASE,R2,0–30,0.625,8,64,3.615,87.395,3.615,16.185
BASE,R5,31–60,0.625,8,0.0625,100.0,44.98,44.98,0.22999999999999998
BASE,R5,31–60,0.625,8,0.125,100.0,44.98,44.98,0.22999999999999998
BASE,R5,31–60,0.625,8,0.25,100.0,44.98,44.98,0.22999999999999998
BASE,R5,31–60,0.625,8,0.5,99.945,44.98,44.98,0.22999999999999998
BASE,R5,31–60,0.625,8,1,97.925,44.98,44.98,0.22999999999999998
BASE,R5,31–60,0.625,8,2,82.875,44.98,44.98,0.22999999999999998
BASE,R5,31–60,0.625,8,4,44.315,44.98,39.26,0.22999999999999998
BASE,R5,31–60,0.625,8,8,10.135,44.98,10.135,0.22999999999999998
BASE,R5,31–60,0.625,8,16,0.975,44.98,0.975,0.22999999999999998
BASE,R5,31–60,0.625,8,32,0.025,44.98,0.025,0.22999999999999998
BASE,R5,31–60,0.625,8,64,0.0,44.98,0.0,0.22999999999999998
BASE,R6,31–60,1.25,12,0.0625,100.0,61.004999999999995,61.004999999999995,0.855
BASE,R6,31–60,1.25,12,0.125,100.0,61.004999999999995,61.004999999999995,0.855
BASE,R6,31–60,1.25,12,0.25,100.0,61.004999999999995,61.004999999999995,0.855
BASE,R6,31–60,1.25,12,0.5,99.995,61.004999999999995,61.004999999999995,0.855
BASE,R6,31–60,1.25,12,1,99.41499999999999,61.004999999999995,61.004999999999995,0.855
BASE,R6,31–60,1.25,12,2,91.97999999999999,61.004999999999995,61.004999999999995,0.855
BASE,R6,31–60,1.25,12,4,62.165000000000006,61.004999999999995,56.410000000000004,0.855
BASE,R6,31–60,1.25,12,8,21.705,61.004999999999995,21.695,0.855
BASE,R6,31–60,1.25,12,16,2.8649999999999998,61.004999999999995,2.8649999999999998,0.855
BASE,R6,31–60,1.25,12,32,0.165,61.004999999999995,0.165,0.855
BASE,R6,31–60,1.25,12,64,0.0,61.004999999999995,0.0,0.855
BASE,R7,31–60,1.25,8,0.0625,100.0,80.35,80.35,3.73
BASE,R7,31–60,1.25,8,0.125,100.0,80.35,80.35,3.73
BASE,R7,31–60,1.25,8,0.25,100.0,80.35,80.35,3.73
BASE,R7,31–60,1.25,8,0.5,100.0,80.35,80.35,3.73
BASE,R7,31–60,1.25,8,1,99.945,80.35,80.35,3.73
BASE,R7,31–60,1.25,8,2,97.925,80.35,80.35,3.73
BASE,R7,31–60,1.25,8,4,82.875,80.35,77.885,3.73
BASE,R7,31–60,1.25,8,8,44.315,80.35,44.31,3.73
BASE,R7,31–60,1.25,8,16,10.135,80.35,10.135,3.73
BASE,R7,31–60,1.25,8,32,0.975,80.35,0.975,3.73
