ekfc_class,regimen,distribution_id,p_joint_cfr_ge_90_pct,p_joint_cfr_ge_80_pct,p_toxicity_le_15_pct,p_both_pct,robustness_class
0–30,R1,LEE2022_KPC_KP,0.0,6.0,97.33333333333334,6.0,Fragile
0–30,R1,LEE2022_OXA_KP,0.0,8.0,97.33333333333334,7.666666666666666,Fragile
0–30,R1,INDIA2022_OXA48_KP,0.0,3.0,97.33333333333334,3.0,Fragile
0–30,R1,FR2024_OXA484_SERINE_ONLY,0.0,15.666666666666668,97.33333333333334,15.0,Fragile
31–60,R8,LEE2022_KPC_KP,35.333333333333336,99.0,84.33333333333334,83.33333333333334,Conditionally robust
31–60,R8,LEE2022_OXA_KP,34.0,98.66666666666667,84.33333333333334,83.0,Conditionally robust
31–60,R8,INDIA2022_OXA48_KP,19.333333333333332,94.0,84.33333333333334,78.66666666666666,Conditionally robust
31–60,R8,FR2024_OXA484_SERINE_ONLY,43.0,100.0,84.33333333333334,84.33333333333334,Conditionally robust
61–90,R10,LEE2022_KPC_KP,24.666666666666668,94.66666666666667,79.33333333333333,74.66666666666667,Conditionally robust
61–90,R10,LEE2022_OXA_KP,23.333333333333332,93.66666666666667,79.33333333333333,74.0,Conditionally robust
61–90,R10,INDIA2022_OXA48_KP,11.333333333333332,86.33333333333333,79.33333333333333,68.0,Fragile
61–90,R10,FR2024_OXA484_SERINE_ONLY,33.33333333333333,97.33333333333334,79.33333333333333,77.0,Conditionally robust
91–120,R12,LEE2022_KPC_KP,26.666666666666668,95.66666666666667,65.66666666666666,62.33333333333333,Fragile
91–120,R12,LEE2022_OXA_KP,24.666666666666668,95.0,65.66666666666666,62.33333333333333,Fragile
91–120,R12,INDIA2022_OXA48_KP,13.666666666666666,87.0,65.66666666666666,56.99999999999999,Fragile
91–120,R12,FR2024_OXA484_SERINE_ONLY,33.666666666666664,98.0,65.66666666666666,64.33333333333333,Fragile
121–150,R13,LEE2022_KPC_KP,1.3333333333333335,48.0,94.33333333333334,44.666666666666664,Fragile
121–150,R13,LEE2022_OXA_KP,1.6666666666666667,47.333333333333336,94.33333333333334,44.0,Fragile
121–150,R13,INDIA2022_OXA48_KP,0.33333333333333337,32.666666666666664,94.33333333333334,31.666666666666664,Fragile
121–150,R13,FR2024_OXA484_SERINE_ONLY,4.0,53.333333333333336,94.33333333333334,49.666666666666664,Fragile
