caz_target,target_label,regimen,ekfc_class,joint_pta_mic4_pct,joint_cfr_pct,toxicity_pct
4.0,killing (fCss/MIC >= 4),R1,0–30,67.2,73.5,9.3
4.0,killing (fCss/MIC >= 4),R2,0–30,83.2,86.3,16.2
4.0,killing (fCss/MIC >= 4),R5,31–60,39.3,43.9,0.2
4.0,killing (fCss/MIC >= 4),R6,31–60,56.4,59.9,0.9
4.0,killing (fCss/MIC >= 4),R7,31–60,77.9,79.4,3.7
4.0,killing (fCss/MIC >= 4),R8,31–60,88.3,88.6,9.2
4.0,killing (fCss/MIC >= 4),R9,61–90,71.7,72.3,2.9
4.0,killing (fCss/MIC >= 4),R10,61–90,87.8,87.7,10.7
4.0,killing (fCss/MIC >= 4),R11,91–120,77.5,77.4,5.0
4.0,killing (fCss/MIC >= 4),R12,91–120,88.0,87.8,12.2
4.0,killing (fCss/MIC >= 4),R13,121–150,80.8,80.5,7.2
6.0,intermediate (fCss/MIC >= 6),R1,0–30,48.9,71.4,9.3
6.0,intermediate (fCss/MIC >= 6),R2,0–30,68.7,84.7,16.2
6.0,intermediate (fCss/MIC >= 6),R5,31–60,21.6,42.1,0.2
6.0,intermediate (fCss/MIC >= 6),R6,31–60,37.0,58.0,0.9
6.0,intermediate (fCss/MIC >= 6),R7,31–60,61.9,77.7,3.7
6.0,intermediate (fCss/MIC >= 6),R8,31–60,77.3,87.4,9.2
6.0,intermediate (fCss/MIC >= 6),R9,61–90,57.5,70.9,2.9
6.0,intermediate (fCss/MIC >= 6),R10,61–90,79.5,86.7,10.7
6.0,intermediate (fCss/MIC >= 6),R11,91–120,67.1,76.2,5.0
6.0,intermediate (fCss/MIC >= 6),R12,91–120,81.6,86.9,12.2
6.0,intermediate (fCss/MIC >= 6),R13,121–150,72.6,79.5,7.2
8.0,suppression proxy (fCss/MIC >= 8),R1,0–30,35.9,68.5,9.3
8.0,suppression proxy (fCss/MIC >= 8),R2,0–30,54.7,82.4,16.2
8.0,suppression proxy (fCss/MIC >= 8),R5,31–60,10.1,39.8,0.2
8.0,suppression proxy (fCss/MIC >= 8),R6,31–60,21.7,55.5,0.9
8.0,suppression proxy (fCss/MIC >= 8),R7,31–60,44.3,75.5,3.7
8.0,suppression proxy (fCss/MIC >= 8),R8,31–60,62.1,85.6,9.2
8.0,suppression proxy (fCss/MIC >= 8),R9,61–90,40.0,68.9,2.9
8.0,suppression proxy (fCss/MIC >= 8),R10,61–90,65.0,85.1,10.7
8.0,suppression proxy (fCss/MIC >= 8),R11,91–120,50.7,74.5,5.0
8.0,suppression proxy (fCss/MIC >= 8),R12,91–120,68.1,85.5,12.2
8.0,suppression proxy (fCss/MIC >= 8),R13,121–150,57.2,78.0,7.2
