model,bsv,ekfc_class,mic_mg_l,daily_dose_for_90pct_pta_g,exceedance_at_that_dose_pct,daily_dose_at_15pct_exceedance_g,ceiling_reached_first
M1_Cojutti_2024,structural,0–30,8.0,4.625,49.1,1.875,yes
M1_Cojutti_2024,structural,31–60,8.0,9.25,37.5,6.0,yes
M1_Cojutti_2024,structural,61–90,8.0,13.25,37.5,8.625,yes
M1_Cojutti_2024,structural,91–120,8.0,16.625,36.7,10.875,yes
M1_Cojutti_2024,structural,121–150,8.0,19.75,36.1,13.0,yes
M2_Chen_2025,structural,0–30,8.0,3.75,43.8,2.0,yes
M2_Chen_2025,structural,31–60,8.0,6.125,37.5,4.0,yes
M2_Chen_2025,structural,61–90,8.0,7.625,37.3,5.0,yes
M2_Chen_2025,structural,91–120,8.0,8.75,36.3,5.75,yes
M2_Chen_2025,structural,121–150,8.0,9.75,35.9,6.5,yes
M3_Registrational,structural,0–30,8.0,3.0,55.3,0.875,yes
M3_Registrational,structural,31–60,8.0,7.5,39.5,4.625,yes
M3_Registrational,structural,61–90,8.0,12.25,38.2,7.875,yes
M3_Registrational,structural,91–120,8.0,16.0,36.2,10.5,yes
M3_Registrational,structural,121–150,8.0,17.375,35.8,11.5,yes
M4_Bensman_2017,structural,61–90,8.0,19.125,37.6,12.375,yes
M4_Bensman_2017,structural,91–120,8.0,19.125,37.4,12.375,yes
M4_Bensman_2017,structural,121–150,8.0,19.125,37.3,12.5,yes
M1_Cojutti_2024,full,0–30,8.0,4.625,49.1,1.875,yes
M1_Cojutti_2024,full,31–60,8.0,9.25,37.5,6.0,yes
M1_Cojutti_2024,full,61–90,8.0,13.25,37.5,8.625,yes
M1_Cojutti_2024,full,91–120,8.0,16.625,36.7,10.875,yes
M1_Cojutti_2024,full,121–150,8.0,19.75,36.1,13.0,yes
M2_Chen_2025,full,0–30,8.0,3.375,35.9,2.125,yes
M2_Chen_2025,full,31–60,8.0,5.375,26.5,4.375,yes
M2_Chen_2025,full,61–90,8.0,6.75,26.7,5.5,yes
M2_Chen_2025,full,91–120,8.0,7.75,25.9,6.375,yes
M2_Chen_2025,full,121–150,8.0,8.625,25.5,7.125,yes
M3_Registrational,full,0–30,8.0,3.0,55.3,0.875,yes
M3_Registrational,full,31–60,8.0,7.5,39.5,4.625,yes
M3_Registrational,full,61–90,8.0,12.25,38.2,7.875,yes
M3_Registrational,full,91–120,8.0,16.0,36.2,10.5,yes
M3_Registrational,full,121–150,8.0,17.375,35.8,11.5,yes
M4_Bensman_2017,full,61–90,8.0,10.625,0.0,19.75,no
M4_Bensman_2017,full,91–120,8.0,10.625,0.0,19.75,no
M4_Bensman_2017,full,121–150,8.0,10.625,0.0,19.75,no
