model,ekfc_class,regimen,limit_changes_hands_at_mic
M1_Cojutti_2024,0–30,R1,4
M1_Cojutti_2024,0–30,R2,4
M1_Cojutti_2024,31–60,R5,4
M1_Cojutti_2024,31–60,R6,8
M1_Cojutti_2024,31–60,R7,8
M1_Cojutti_2024,31–60,R8,8
M1_Cojutti_2024,61–90,R10,8
M1_Cojutti_2024,61–90,R9,8
M1_Cojutti_2024,91–120,R11,8
M1_Cojutti_2024,91–120,R12,8
M1_Cojutti_2024,121–150,R13,8
M2_Chen_2025,0–30,R1,8
M2_Chen_2025,0–30,R2,8
M2_Chen_2025,31–60,R5,8
M2_Chen_2025,31–60,R6,8
M2_Chen_2025,31–60,R7,8
M2_Chen_2025,31–60,R8,8
M2_Chen_2025,61–90,R10,8
M2_Chen_2025,61–90,R9,8
M2_Chen_2025,91–120,R11,8
M2_Chen_2025,91–120,R12,8
M2_Chen_2025,121–150,R13,8
M3_Registrational,0–30,R1,8
M3_Registrational,0–30,R2,8
M3_Registrational,31–60,R5,8
M3_Registrational,31–60,R6,8
M3_Registrational,31–60,R7,8
M3_Registrational,31–60,R8,8
M3_Registrational,61–90,R10,8
M3_Registrational,61–90,R9,8
M3_Registrational,91–120,R11,8
M3_Registrational,91–120,R12,8
M3_Registrational,121–150,R13,8
M4_Bensman_2017,61–90,R10,8
M4_Bensman_2017,61–90,R9,8
M4_Bensman_2017,91–120,R11,8
M4_Bensman_2017,91–120,R12,8
M4_Bensman_2017,121–150,R13,8
