model,label,ekfc_class,typical_cl_caz_l_h,typical_cl_avi_l_h,median_cl_caz_l_h,p5_cl_caz_l_h,p95_cl_caz_l_h,median_cl_avi_l_h,ratio_to_primary
M1_Cojutti_2024,Cojutti 2024 (primary),0–30,1.71,1.51,1.51,0.26,5.19,1.31,1.0
M1_Cojutti_2024,Cojutti 2024 (primary),31–60,3.71,4.04,3.63,1.32,10.27,3.93,1.0
M1_Cojutti_2024,Cojutti 2024 (primary),61–90,5.27,6.31,5.21,1.86,14.57,6.19,1.0
M1_Cojutti_2024,Cojutti 2024 (primary),91–120,6.66,8.5,6.57,2.4,18.21,8.42,1.0
M1_Cojutti_2024,Cojutti 2024 (primary),121–150,7.94,10.62,7.9,2.85,21.65,10.59,1.0
M2_Chen_2025,Chen 2025,0–30,1.49,1.63,1.35,0.36,4.17,1.48,0.87
M2_Chen_2025,Chen 2025,31–60,2.43,2.57,2.39,0.88,6.7,2.53,0.65
M2_Chen_2025,Chen 2025,61–90,3.03,3.16,3.01,1.08,8.36,3.12,0.57
M2_Chen_2025,Chen 2025,91–120,3.52,3.63,3.47,1.27,9.58,3.6,0.53
M2_Chen_2025,Chen 2025,121–150,3.93,4.02,3.91,1.41,10.67,4.01,0.49
M3_Registrational,Registrational relationship,0–30,0.97,1.48,0.85,0.08,3.3,1.28,0.57
M3_Registrational,Registrational relationship,31–60,2.92,4.48,2.85,1.01,8.25,4.35,0.79
M3_Registrational,Registrational relationship,61–90,4.83,7.39,4.76,1.69,13.45,7.15,0.92
M3_Registrational,Registrational relationship,91–120,6.5,8.52,6.37,2.33,17.53,8.45,0.98
M3_Registrational,Registrational relationship,121–150,7.01,9.18,6.98,2.53,19.05,9.16,0.88
M4_Bensman_2017,Bensman 2017 (preserved renal function),61–90,7.53,12.3,7.48,2.69,20.9,12.16,1.43
M4_Bensman_2017,Bensman 2017 (preserved renal function),91–120,7.53,12.3,7.45,2.73,20.52,12.21,1.13
M4_Bensman_2017,Bensman 2017 (preserved renal function),121–150,7.53,12.3,7.5,2.72,20.51,12.27,0.95
