model,distribution_id,classes_covered,population_joint_cfr_pct,population_caz_cfr_pct,population_exceedance_pct,bsv
M1_Cojutti_2024,FR2024_OXA484_SERINE_ONLY,5,85.1,99.5,10.0,structural
M1_Cojutti_2024,INDIA2022_OXA48_KP,5,82.0,95.9,10.0,structural
M1_Cojutti_2024,LEE2022_KPC_KP,5,84.3,97.7,10.0,structural
M1_Cojutti_2024,LEE2022_OXA_KP,5,83.9,97.9,10.0,structural
M2_Chen_2025,FR2024_OXA484_SERINE_ONLY,5,95.0,99.8,33.0,structural
M2_Chen_2025,INDIA2022_OXA48_KP,5,91.8,96.4,33.0,structural
M2_Chen_2025,LEE2022_KPC_KP,5,94.5,98.9,33.0,structural
M2_Chen_2025,LEE2022_OXA_KP,5,93.8,98.5,33.0,structural
M3_Registrational,FR2024_OXA484_SERINE_ONLY,5,84.8,99.8,15.2,structural
M3_Registrational,INDIA2022_OXA48_KP,5,81.8,96.2,15.2,structural
M3_Registrational,LEE2022_KPC_KP,5,84.3,98.5,15.2,structural
M3_Registrational,LEE2022_OXA_KP,5,83.7,98.3,15.2,structural
M4_Bensman_2017,FR2024_OXA484_SERINE_ONLY,3,70.7,99.7,7.0,structural
M4_Bensman_2017,INDIA2022_OXA48_KP,3,68.1,96.0,7.0,structural
M4_Bensman_2017,LEE2022_KPC_KP,3,70.2,97.9,7.0,structural
M4_Bensman_2017,LEE2022_OXA_KP,3,69.7,98.1,7.0,structural
M1_Cojutti_2024,FR2024_OXA484_SERINE_ONLY,5,85.1,99.5,10.0,full
M1_Cojutti_2024,INDIA2022_OXA48_KP,5,82.0,95.9,10.0,full
M1_Cojutti_2024,LEE2022_KPC_KP,5,84.3,97.7,10.0,full
M1_Cojutti_2024,LEE2022_OXA_KP,5,83.9,97.9,10.0,full
M2_Chen_2025,FR2024_OXA484_SERINE_ONLY,5,95.9,99.9,31.0,full
M2_Chen_2025,INDIA2022_OXA48_KP,5,92.6,96.4,31.0,full
M2_Chen_2025,LEE2022_KPC_KP,5,95.4,99.1,31.0,full
M2_Chen_2025,LEE2022_OXA_KP,5,94.7,98.6,31.0,full
M3_Registrational,FR2024_OXA484_SERINE_ONLY,5,84.8,99.8,15.2,full
M3_Registrational,INDIA2022_OXA48_KP,5,81.8,96.2,15.2,full
M3_Registrational,LEE2022_KPC_KP,5,84.3,98.5,15.2,full
M3_Registrational,LEE2022_OXA_KP,5,83.7,98.3,15.2,full
M4_Bensman_2017,FR2024_OXA484_SERINE_ONLY,3,95.6,100.0,0.0,full
M4_Bensman_2017,INDIA2022_OXA48_KP,3,92.1,96.3,0.0,full
M4_Bensman_2017,LEE2022_KPC_KP,3,94.8,99.1,0.0,full
M4_Bensman_2017,LEE2022_OXA_KP,3,94.3,98.6,0.0,full
