model,ekfc_class,mic_mg_l,in_window_any_dose_pct
M1_Cojutti_2024,0–30,4.0,100.0
M1_Cojutti_2024,0–30,8.0,100.0
M1_Cojutti_2024,0–30,16.0,100.0
M1_Cojutti_2024,31–60,4.0,100.0
M1_Cojutti_2024,31–60,8.0,100.0
M1_Cojutti_2024,31–60,16.0,100.0
M1_Cojutti_2024,61–90,4.0,100.0
M1_Cojutti_2024,61–90,8.0,100.0
M1_Cojutti_2024,61–90,16.0,100.0
M1_Cojutti_2024,91–120,4.0,100.0
M1_Cojutti_2024,91–120,8.0,100.0
M1_Cojutti_2024,91–120,16.0,100.0
M1_Cojutti_2024,121–150,4.0,100.0
M1_Cojutti_2024,121–150,8.0,100.0
M1_Cojutti_2024,121–150,16.0,100.0
M2_Chen_2025,0–30,4.0,100.0
M2_Chen_2025,0–30,8.0,100.0
M2_Chen_2025,0–30,16.0,100.0
M2_Chen_2025,31–60,4.0,100.0
M2_Chen_2025,31–60,8.0,100.0
M2_Chen_2025,31–60,16.0,100.0
M2_Chen_2025,61–90,4.0,100.0
M2_Chen_2025,61–90,8.0,100.0
M2_Chen_2025,61–90,16.0,100.0
M2_Chen_2025,91–120,4.0,100.0
M2_Chen_2025,91–120,8.0,100.0
M2_Chen_2025,91–120,16.0,100.0
M2_Chen_2025,121–150,4.0,100.0
M2_Chen_2025,121–150,8.0,100.0
M2_Chen_2025,121–150,16.0,100.0
M3_Registrational,0–30,4.0,100.0
M3_Registrational,0–30,8.0,100.0
M3_Registrational,0–30,16.0,100.0
M3_Registrational,31–60,4.0,100.0
M3_Registrational,31–60,8.0,100.0
M3_Registrational,31–60,16.0,100.0
M3_Registrational,61–90,4.0,100.0
M3_Registrational,61–90,8.0,100.0
M3_Registrational,61–90,16.0,100.0
M3_Registrational,91–120,4.0,100.0
M3_Registrational,91–120,8.0,100.0
M3_Registrational,91–120,16.0,100.0
M3_Registrational,121–150,4.0,100.0
M3_Registrational,121–150,8.0,100.0
M3_Registrational,121–150,16.0,100.0
M4_Bensman_2017,61–90,4.0,100.0
M4_Bensman_2017,61–90,8.0,100.0
M4_Bensman_2017,61–90,16.0,100.0
M4_Bensman_2017,91–120,4.0,100.0
M4_Bensman_2017,91–120,8.0,100.0
M4_Bensman_2017,91–120,16.0,100.0
M4_Bensman_2017,121–150,4.0,100.0
M4_Bensman_2017,121–150,8.0,100.0
M4_Bensman_2017,121–150,16.0,100.0
