protein_binding,regimen,ekfc_class,mic_mg_l,caz_pta_pct,avi_attainment_pct,joint_pta_pct
fixed,R1,0–30,2,92.2,74.9,74.9
fixed,R1,0–30,4,68.7,74.9,67.2
fixed,R1,0–30,8,35.9,74.9,35.9
sampled,R1,0–30,2,92.1,74.8,74.8
sampled,R1,0–30,4,68.6,74.8,67.0
sampled,R1,0–30,8,35.6,74.8,35.6
fixed,R8,31–60,2,99.4,89.4,89.4
fixed,R8,31–60,4,92.0,89.4,88.3
fixed,R8,31–60,8,62.2,89.4,62.1
sampled,R8,31–60,2,99.4,89.3,89.3
sampled,R8,31–60,4,92.0,89.3,88.2
sampled,R8,31–60,8,62.1,89.3,62.1
fixed,R10,61–90,2,99.6,88.4,88.4
fixed,R10,61–90,4,93.2,88.4,87.8
fixed,R10,61–90,8,65.0,88.4,65.0
sampled,R10,61–90,2,99.5,88.3,88.3
sampled,R10,61–90,4,93.2,88.3,87.7
sampled,R10,61–90,8,65.0,88.3,65.0
fixed,R12,91–120,2,99.7,88.4,88.4
fixed,R12,91–120,4,94.5,88.4,88.0
fixed,R12,91–120,8,68.2,88.4,68.1
sampled,R12,91–120,2,99.7,88.3,88.3
sampled,R12,91–120,4,94.5,88.3,87.9
sampled,R12,91–120,8,68.1,88.3,68.0
fixed,R13,121–150,2,99.2,81.2,81.2
fixed,R13,121–150,4,90.6,81.2,80.8
fixed,R13,121–150,8,57.3,81.2,57.2
sampled,R13,121–150,2,99.2,81.1,81.1
sampled,R13,121–150,4,90.5,81.1,80.7
sampled,R13,121–150,8,57.3,81.1,57.2
