Regimen,EKFC class,MIC,Sim CAZ PTA,Published CAZ PTA,CAZ difference,Sim AVI attainment,Published AVI attainment,AVI difference
R1,0–30,0.0625,100,100,0,74.88,72.7,2.1799999999999926
R1,0–30,0.125,100,100,0,74.88,72.7,2.1799999999999926
R1,0–30,0.25,100,100,0,74.88,72.7,2.1799999999999926
R1,0–30,0.5,99.94,100,-0.060000000000002274,74.88,72.7,2.1799999999999926
R1,0–30,1,99.13499999999999,94.8,4.334999999999994,74.88,72.7,2.1799999999999926
R1,0–30,2,92.08,87.8,4.280000000000001,74.88,72.7,2.1799999999999926
R1,0–30,4,68.575,61.4,7.175000000000004,74.88,72.7,2.1799999999999926
R1,0–30,8,35.775,27.4,8.375,74.88,72.7,2.1799999999999926
R2,0–30,0.0625,100,100,0,87.38,85.5,1.8799999999999955
R2,0–30,0.125,100,100,0,87.38,85.5,1.8799999999999955
R2,0–30,0.25,100,100,0,87.38,85.5,1.8799999999999955
R2,0–30,0.5,100,100,0,87.38,85.5,1.8799999999999955
R2,0–30,1,99.88,100,-0.12000000000000455,87.38,85.5,1.8799999999999955
R2,0–30,2,97.63,94,3.6299999999999955,87.38,85.5,1.8799999999999955
R2,0–30,4,84.53,80.2,4.329999999999998,87.38,85.5,1.8799999999999955
R2,0–30,8,54.510000000000005,46.9,7.6100000000000065,87.38,85.5,1.8799999999999955
R7,31–60,0.0625,100,100,0,80.435,84.1,-3.664999999999992
R7,31–60,0.125,100,100,0,80.435,84.1,-3.664999999999992
R7,31–60,0.25,100,100,0,80.435,84.1,-3.664999999999992
R7,31–60,0.5,100,100,0,80.435,84.1,-3.664999999999992
R7,31–60,1,99.935,99.8,0.13500000000000512,80.435,84.1,-3.664999999999992
R7,31–60,2,97.875,95.4,2.4749999999999943,80.435,84.1,-3.664999999999992
R7,31–60,4,82.75,83.8,-1.0499999999999972,80.435,84.1,-3.664999999999992
R7,31–60,8,44.345,47.3,-2.9549999999999983,80.435,84.1,-3.664999999999992
R8,31–60,0.0625,100,100,0,89.45,92.5,-3.049999999999997
R8,31–60,0.125,100,100,0,89.45,92.5,-3.049999999999997
R8,31–60,0.25,100,100,0,89.45,92.5,-3.049999999999997
R8,31–60,0.5,100,100,0,89.45,92.5,-3.049999999999997
R8,31–60,1,99.995,100,-0.0049999999999954525,89.45,92.5,-3.049999999999997
R8,31–60,2,99.39,96.1,3.2900000000000063,89.45,92.5,-3.049999999999997
R8,31–60,4,91.82000000000001,92.6,-0.7799999999999869,89.45,92.5,-3.049999999999997
R8,31–60,8,62.11,64.9,-2.7900000000000063,89.45,92.5,-3.049999999999997
R9,61–90,0.0625,100,100,0,73.225,76.3,-3.075000000000003
R9,61–90,0.125,100,100,0,73.225,76.3,-3.075000000000003
R9,61–90,0.25,100,100,0,73.225,76.3,-3.075000000000003
R9,61–90,0.5,99.995,100,-0.0049999999999954525,73.225,76.3,-3.075000000000003
R9,61–90,1,99.91499999999999,100,-0.08500000000000796,73.225,76.3,-3.075000000000003
R9,61–90,2,97.315,95.5,1.8149999999999977,73.225,76.3,-3.075000000000003
R9,61–90,4,79.83,78,1.8299999999999983,73.225,76.3,-3.075000000000003
R9,61–90,8,40.085,37.7,2.384999999999998,73.225,76.3,-3.075000000000003
