Distribution ID,Population,Role,Regimen,EKFC,Dose g,Interval h,CAZ CFR %,AVI weighted attainment %,Joint CFR %,Toxicity %,Decision,Review state
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R1,0–30,0.625,12,93.70158311345645,74.88,73.44901055408971,8.924999999999999,LOW,SYSTEM_NORMALIZED
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R2,0–30,0.625,8,97.07510554089708,87.38,86.28428759894459,16.009999999999998,ACCEPTABLE,SYSTEM_NORMALIZED
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R5,31–60,0.625,8,88.34014511873352,44.964999999999996,43.88473614775726,0.245,LOW,SYSTEM_NORMALIZED
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R6,31–60,1.25,12,93.01390501319261,61.035000000000004,59.914788918205794,0.89,LOW,SYSTEM_NORMALIZED
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R7,31–60,1.25,8,96.8582981530343,80.435,79.4424406332454,3.8350000000000004,LOW,SYSTEM_NORMALIZED
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R8,31–60,2.5,12,98.27369393139841,89.45,88.64850923482848,9.335,ACCEPTABLE,SYSTEM_NORMALIZED
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R9,61–90,2.5,12,96.40265171503958,73.225,72.37798153034302,2.98,LOW,SYSTEM_NORMALIZED
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R10,61–90,2.5,8,98.46139841688654,88.40500000000002,87.69923482849605,10.89,ACCEPTABLE,SYSTEM_NORMALIZED
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R11,91–120,2.5,8,97.5302506596306,78.18,77.45183377308707,5.1499999999999995,LOW,SYSTEM_NORMALIZED
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R12,91–120,2.5,6,98.64291556728232,88.46,87.81439313984167,12.32,ACCEPTABLE,SYSTEM_NORMALIZED
LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R13,121–150,2.5,6,98.03352242744062,81.245,80.57225593667546,7.33,ACCEPTABLE,SYSTEM_NORMALIZED
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R1,0–30,0.625,12,95.55021186440678,74.88,73.59593220338982,8.924999999999999,LOW,SYSTEM_NORMALIZED
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R2,0–30,0.625,8,97.6457627118644,87.38,86.08919491525424,16.009999999999998,ACCEPTABLE,SYSTEM_NORMALIZED
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R5,31–60,0.625,8,92.15095338983049,44.964999999999996,44.10220338983051,0.245,LOW,SYSTEM_NORMALIZED
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R6,31–60,1.25,12,95.38059322033898,61.035,59.97565677966102,0.89,LOW,SYSTEM_NORMALIZED
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R7,31–60,1.25,8,97.57459745762714,80.43500000000002,79.19953389830509,3.8350000000000004,LOW,SYSTEM_NORMALIZED
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R8,31–60,2.5,12,98.24224576271186,89.45000000000002,88.18105932203389,9.335,ACCEPTABLE,SYSTEM_NORMALIZED
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R9,61–90,2.5,12,97.3506779661017,73.22499999999998,72.11652542372882,2.98,LOW,SYSTEM_NORMALIZED
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R10,61–90,2.5,8,98.32381355932205,88.405,87.18108050847458,10.89,ACCEPTABLE,SYSTEM_NORMALIZED
LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",PRIMARY,R11,91–120,2.5,8,97.90476694915256,78.17999999999999,77.05688559322034,5.1499999999999995,LOW,SYSTEM_NORMALIZED
