Scenario,Description,Regimen,EKFC,Distribution ID,Distribution,Base Joint CFR,Scenario Joint CFR,Base category,Scenario category,Base toxicity,Scenario toxicity,Toxicity gate changed
CAZ_CL_LOW,CAZ typical clearance −20%,R8,31–60,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",88.41282321899736,88.6645382585752,ACCEPTABLE,ACCEPTABLE,9.62,17.305,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R8,31–60,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",87.95485169491526,88.05014830508475,ACCEPTABLE,ACCEPTABLE,9.62,17.305,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R8,31–60,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",85.96338235294118,86.03974264705883,ACCEPTABLE,ACCEPTABLE,9.62,17.305,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R8,31–60,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",89.20433333333331,89.22224999999999,ACCEPTABLE,ACCEPTABLE,9.62,17.305,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.42915567282323,87.63310026385224,ACCEPTABLE,ACCEPTABLE,10.665,18.825,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.91703389830509,86.99921610169493,ACCEPTABLE,ACCEPTABLE,10.665,18.825,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.93959558823529,85.01099264705883,ACCEPTABLE,ACCEPTABLE,10.665,18.825,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.12991666666667,88.13908333333335,ACCEPTABLE,ACCEPTABLE,10.665,18.825,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.49072559366755,87.67021108179419,ACCEPTABLE,ACCEPTABLE,11.82,20.605,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.93947033898306,87.01508474576272,ACCEPTABLE,ACCEPTABLE,11.82,20.605,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.95058823529412,85.02639705882352,ACCEPTABLE,ACCEPTABLE,11.82,20.605,YES
CAZ_CL_LOW,CAZ typical clearance −20%,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.13366666666667,88.13950000000001,ACCEPTABLE,ACCEPTABLE,11.82,20.605,YES
AVI_CL_LOW,AVI typical clearance −20%,R1,0–30,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",72.95300847457627,80.49364406779661,LOW,ACCEPTABLE,9.42,9.42,NO
AVI_CL_LOW,AVI typical clearance −20%,R1,0–30,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",74.08933333333334,81.82791666666665,LOW,ACCEPTABLE,9.42,9.42,NO
AVI_CL_LOW,AVI typical clearance −20%,R8,31–60,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",88.41282321899736,93.13389182058047,ACCEPTABLE,OPTIMAL,9.62,9.62,NO
AVI_CL_LOW,AVI typical clearance −20%,R8,31–60,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",87.95485169491526,92.79834745762714,ACCEPTABLE,OPTIMAL,9.62,9.62,NO
AVI_CL_LOW,AVI typical clearance −20%,R8,31–60,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",85.96338235294118,90.71636029411765,ACCEPTABLE,OPTIMAL,9.62,9.62,NO
AVI_CL_LOW,AVI typical clearance −20%,R8,31–60,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",89.20433333333331,94.15183333333334,ACCEPTABLE,OPTIMAL,9.62,9.62,NO
AVI_CL_LOW,AVI typical clearance −20%,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.42915567282323,92.52233509234831,ACCEPTABLE,OPTIMAL,10.665,10.665,NO
AVI_CL_LOW,AVI typical clearance −20%,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.91703389830509,92.08677966101695,ACCEPTABLE,OPTIMAL,10.665,10.665,NO
AVI_CL_LOW,AVI typical clearance −20%,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.93959558823529,90.00904411764705,ACCEPTABLE,OPTIMAL,10.665,10.665,NO
AVI_CL_LOW,AVI typical clearance −20%,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.12991666666667,93.40158333333333,ACCEPTABLE,OPTIMAL,10.665,10.665,NO
AVI_CL_LOW,AVI typical clearance −20%,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.49072559366755,92.66316622691294,ACCEPTABLE,OPTIMAL,11.82,11.82,NO
AVI_CL_LOW,AVI typical clearance −20%,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.93947033898306,92.1605720338983,ACCEPTABLE,OPTIMAL,11.82,11.82,NO
AVI_CL_LOW,AVI typical clearance −20%,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.95058823529412,90.06893382352942,ACCEPTABLE,OPTIMAL,11.82,11.82,NO
AVI_CL_LOW,AVI typical clearance −20%,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.13366666666667,93.45316666666666,ACCEPTABLE,OPTIMAL,11.82,11.82,NO
AVI_CL_LOW,AVI typical clearance −20%,R13,121–150,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",79.73715039577836,87.33522427440633,LOW,ACCEPTABLE,7.045,7.045,NO
AVI_CL_LOW,AVI typical clearance −20%,R13,121–150,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",79.27514830508476,86.94002118644066,LOW,ACCEPTABLE,7.045,7.045,NO
AVI_CL_LOW,AVI typical clearance −20%,R13,121–150,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",77.46297794117649,84.97665441176471,LOW,ACCEPTABLE,7.045,7.045,NO
AVI_CL_HIGH,AVI typical clearance +20%,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.93959558823529,79.42547794117647,ACCEPTABLE,LOW,10.665,10.665,NO
AVI_CL_HIGH,AVI typical clearance +20%,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.95058823529412,78.9320588235294,ACCEPTABLE,LOW,11.82,11.82,NO
