Scenario,Description,Regimen,EKFC,Dose g,Interval h,Distribution ID,Distribution,CAZ CFR %,AVI weighted %,Joint CFR %,Δ Joint CFR pp,Joint PTA MIC4 %,Δ MIC4 pp,Toxicity %,Δ Toxicity pp,Origin class,Transformation,Review state
BASE,Baseline validated pilot,R1,0–30,0.625,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",93.65485488126649,74.22,72.80412928759894,0,66.425,0,9.42,0,USER_INPUT,NONE,SYSTEM_NORMALIZED
BASE,Baseline validated pilot,R1,0–30,0.625,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",95.5652966101695,74.22,72.95300847457627,0,66.425,0,9.42,0,USER_INPUT,NONE,SYSTEM_NORMALIZED
BASE,Baseline validated pilot,R1,0–30,0.625,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",94.45033088235294,74.22000000000001,71.44227941176472,0,66.425,0,9.42,0,USER_INPUT,NONE,SYSTEM_NORMALIZED
BASE,Baseline validated pilot,R1,0–30,0.625,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",98.06408333333334,74.22,74.08933333333334,0,66.425,0,9.42,0,USER_INPUT,NONE,SYSTEM_NORMALIZED
BASE,Baseline validated pilot,R8,31–60,2.5,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.2425857519789,89.22500000000001,88.41282321899736,0,87.985,0,9.62,0,USER_INPUT,NONE,SYSTEM_NORMALIZED
BASE,Baseline validated pilot,R8,31–60,2.5,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.22625000000002,89.22500000000001,87.95485169491526,0,87.985,0,9.62,0,USER_INPUT,NONE,SYSTEM_NORMALIZED
BASE,Baseline validated pilot,R8,31–60,2.5,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.11161764705881,89.22500000000001,85.96338235294118,0,87.985,0,9.62,0,USER_INPUT,NONE,SYSTEM_NORMALIZED
BASE,Baseline validated pilot,R8,31–60,2.5,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.76208333333334,89.22499999999998,89.20433333333331,0,87.985,0,9.62,0,USER_INPUT,NONE,SYSTEM_NORMALIZED
BASE,Baseline validated pilot,R10,61–90,2.5,8,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.4327308707124,88.14,87.42915567282323,0,87.535,0,10.665,0,USER_INPUT,NONE,SYSTEM_NORMALIZED
BASE,Baseline validated pilot,R10,61–90,2.5,8,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.30724576271186,88.14000000000003,86.91703389830509,0,87.535,0,10.665,0,USER_INPUT,NONE,SYSTEM_NORMALIZED
