Rank,Scenario,Description,Max |Δ Joint CFR|,Mean |Δ Joint CFR|,Max |Δ Joint PTA MIC4|,Max |Δ toxicity|,Direction,Origin,Transformation
1,AVI_CT_6,AVI threshold = 6 mg/L,19.753666666666668,16.157736872298678,19.38000000000001,0,LOWER JOINT ATTAINMENT,USER_INPUT,SCENARIO_GENERATION
2,AVI_CT_2,AVI threshold = 2 mg/L,18.29108333333332,12.611610329861332,10.260000000000005,0,HIGHER JOINT ATTAINMENT,USER_INPUT,SCENARIO_GENERATION
3,AVI_CL_HIGH,AVI typical clearance +20%,8.18491666666668,6.3783493738003285,7.884999999999991,0,LOWER JOINT ATTAINMENT,MODEL_INFERRED,SCENARIO_GENERATION
4,AVI_CL_LOW,AVI typical clearance −20%,7.808499999999995,6.056710159051209,6.540000000000006,0,HIGHER JOINT ATTAINMENT,MODEL_INFERRED,SCENARIO_GENERATION
5,IIV_LOW,Both IIV SDs −20%,5.4893333333333345,4.377899625359847,5.7450000000000045,4.670000000000001,HIGHER JOINT ATTAINMENT,MODEL_INFERRED,SCENARIO_GENERATION
6,IIV_HIGH,Both IIV SDs +20%,4.455083333333334,3.7431951875628613,4.844999999999999,4.439999999999998,LOWER JOINT ATTAINMENT,MODEL_INFERRED,SCENARIO_GENERATION
7,FU_AVI_LOW,AVI unbound fraction = 0.87,2.4229166666666657,1.8460189139978902,2.299999999999997,0,LOWER JOINT ATTAINMENT,MODEL_INFERRED,SCENARIO_GENERATION
8,RHO_000,Random-effect correlation = 0,2.2469393139841713,0.527627245928224,11.850000000000001,0,LOWER JOINT ATTAINMENT,MODEL_INFERRED,SCENARIO_GENERATION
9,FU_AVI_HIGH,AVI unbound fraction = 0.97,2.051416666666668,1.6246829800834952,1.8400000000000034,0,HIGHER JOINT ATTAINMENT,MODEL_INFERRED,SCENARIO_GENERATION
10,CAZ_TARGET_6,CAZ target fCss/MIC ≥6,2.028720316622696,0.5523747558720082,17.915,0,LOWER JOINT ATTAINMENT,USER_INPUT,SCENARIO_GENERATION
11,CAZ_TARGET_2,CAZ target fCss/MIC ≥2,1.0496701846965806,0.2987274514462328,7.790000000000006,0,HIGHER JOINT ATTAINMENT,USER_INPUT,SCENARIO_GENERATION
12,RHO_050,Random-effect correlation = 0.50,0.8185751978891744,0.258914235936647,6.75,0,LOWER JOINT ATTAINMENT,MODEL_INFERRED,SCENARIO_GENERATION
13,CAZ_CL_HIGH,CAZ typical clearance +20%,0.7529155672823151,0.17828557296448366,7.634999999999998,4.745000000000001,LOWER JOINT ATTAINMENT,MODEL_INFERRED,SCENARIO_GENERATION
14,CAZ_CL_LOW,CAZ typical clearance −20%,0.6040633245382594,0.12746205684836553,5.7050000000000125,8.785,HIGHER JOINT ATTAINMENT,MODEL_INFERRED,SCENARIO_GENERATION
15,FU_CAZ_LOW,CAZ unbound fraction = 0.80,0.2129419525066112,0.049254139910962634,2.1499999999999915,0,MINIMAL PTA EFFECT,MODEL_INFERRED,SCENARIO_GENERATION
16,FU_CAZ_HIGH,CAZ unbound fraction = 0.90,0.1932849604221616,0.03858697661961159,1.9150000000000063,0,MINIMAL PTA EFFECT,MODEL_INFERRED,SCENARIO_GENERATION
17,BASE,Baseline validated pilot,0,0,0,0,BASELINE,USER_INPUT,NONE
18,TOX_80,CAZ toxicity threshold = 80 mg/L,0,0,0,10.509999999999998,MINIMAL PTA EFFECT,USER_INPUT,SCENARIO_GENERATION
19,TOX_128,CAZ toxicity threshold = 128 mg/L,0,0,0,5.28,MINIMAL PTA EFFECT,USER_INPUT,SCENARIO_GENERATION
