Seed,EKFC,Regimen,MIC,CAZ PTA,AVI attainment,Joint PTA,Toxicity
20260707,0–30,R1,4,68.7,74.94,67.16,9.31
20260707,0–30,R1,8,35.985,74.94,35.985,9.31
20260707,31–60,R8,4,91.82000000000001,89.45,88.28,9.335
20260707,31–60,R8,8,62.11,89.45,62.09,9.335
20260707,61–90,R10,4,93.105,88.405,87.76,10.89
20260707,61–90,R10,8,64.945,88.405,64.92999999999999,10.89
20260707,91–120,R12,4,94.405,88.46000000000001,88.07000000000001,12.32
20260707,91–120,R12,8,68.11500000000001,88.46000000000001,68.045,12.32
20260707,121–150,R13,4,90.425,81.245,80.805,7.33
20260707,121–150,R13,8,57.30499999999999,81.245,57.205,7.33
20260708,0–30,R1,4,68.705,74.86500000000001,67.32000000000001,9.545
20260708,0–30,R1,8,36.51,74.86500000000001,36.51,9.545
20260708,31–60,R8,4,91.82000000000001,89.55,88.125,9.685
20260708,31–60,R8,8,61.695,89.55,61.685,9.685
20260708,61–90,R10,4,93.075,88.265,87.665,10.615
20260708,61–90,R10,8,64.575,88.265,64.55499999999999,10.615
20260708,91–120,R12,4,94.24,88.435,88.14,12.295
20260708,91–120,R12,8,67.585,88.435,67.535,12.295
20260708,121–150,R13,4,90.19,80.575,80.17999999999999,7.3
20260708,121–150,R13,8,56.76,80.575,56.67,7.3
20260709,0–30,R1,4,67.65,74.16,66.10000000000001,9.01
20260709,0–30,R1,8,35.245,74.16,35.245,9.01
20260709,31–60,R8,4,92.225,90.03999999999999,88.755,9.71
20260709,31–60,R8,8,62.2,90.03999999999999,62.195,9.71
20260709,61–90,R10,4,93.185,88.77000000000001,88.29,10.775
20260709,61–90,R10,8,65.515,88.77000000000001,65.495,10.775
20260709,91–120,R12,4,93.955,88.255,87.86500000000001,12.049999999999999
20260709,91–120,R12,8,67.415,88.255,67.35,12.049999999999999
20260709,121–150,R13,4,90.185,80.52,80.12,7.305000000000001
20260709,121–150,R13,8,57.074999999999996,80.52,56.96,7.305000000000001
20260710,0–30,R1,4,67.645,74.325,66.34,9.19
20260710,0–30,R1,8,35.745,74.325,35.745,9.19
20260710,31–60,R8,4,91.82000000000001,89.91,88.645,9.719999999999999
20260710,31–60,R8,8,61.86000000000001,89.91,61.85000000000001,9.719999999999999
20260710,61–90,R10,4,93.195,88.775,88.105,10.67
20260710,61–90,R10,8,64.59,88.775,64.575,10.67
20260710,91–120,R12,4,94.02000000000001,87.91499999999999,87.63499999999999,11.675
20260710,91–120,R12,8,67.53,87.91499999999999,67.495,11.675
20260710,121–150,R13,4,89.925,80.12,79.78,6.93
20260710,121–150,R13,8,56.425000000000004,80.12,56.30500000000001,6.93
20260711,0–30,R1,4,68.17999999999999,74.535,66.59,9.735000000000001
20260711,0–30,R1,8,36.18,74.535,36.18,9.735000000000001
20260711,31–60,R8,4,91.995,89.82,88.58500000000001,9.64
20260711,31–60,R8,8,62.480000000000004,89.82,62.470000000000006,9.64
20260711,61–90,R10,4,93.16499999999999,88.67,88.045,10.345
20260711,61–90,R10,8,64.425,88.67,64.395,10.345
20260711,91–120,R12,4,94.255,88.535,88.19,12.504999999999999
20260711,91–120,R12,8,67.85,88.535,67.785,12.504999999999999
20260711,121–150,R13,4,90.61,81.485,81.13,7.074999999999999
20260711,121–150,R13,8,57.815000000000005,81.485,57.74,7.074999999999999
