EKFC,Regimen,MIC,Metric,Mean,SD,Min,Max,Range,Status
0–30,R1,4,CAZ PTA,68.176,0.5275106633993287,67.645,68.705,1.0600000000000023,REVIEW
0–30,R1,4,AVI attainment,74.56500000000001,0.3365820850847551,74.16,74.94,0.7800000000000011,PASS
0–30,R1,4,Joint PTA,66.70200000000003,0.5238511238892192,66.10000000000001,67.32000000000001,1.2199999999999989,REVIEW
0–30,R1,4,Toxicity,9.358,0.2866749029824555,9.01,9.735000000000001,0.7250000000000014,PASS
0–30,R1,8,CAZ PTA,35.93300000000001,0.4757441539315018,35.245,36.51,1.2650000000000006,REVIEW
0–30,R1,8,AVI attainment,74.56500000000001,0.3365820850847551,74.16,74.94,0.7800000000000011,PASS
0–30,R1,8,Joint PTA,35.93300000000001,0.4757441539315018,35.245,36.51,1.2650000000000006,REVIEW
0–30,R1,8,Toxicity,9.358,0.2866749029824555,9.01,9.735000000000001,0.7250000000000014,PASS
31–60,R8,4,CAZ PTA,91.936,0.1784446692955495,91.82000000000001,92.225,0.4049999999999869,PASS
31–60,R8,4,AVI attainment,89.75399999999999,0.24724481794366943,89.45,90.03999999999999,0.5899999999999892,PASS
31–60,R8,4,Joint PTA,88.478,0.2645184303597754,88.125,88.755,0.6299999999999955,PASS
31–60,R8,4,Toxicity,9.618,0.16119088063535073,9.335,9.719999999999999,0.384999999999998,PASS
31–60,R8,8,CAZ PTA,62.069,0.3046801601680035,61.695,62.480000000000004,0.7850000000000037,PASS
31–60,R8,8,AVI attainment,89.75399999999999,0.24724481794366943,89.45,90.03999999999999,0.5899999999999892,PASS
31–60,R8,8,Joint PTA,62.05800000000001,0.3049303199093196,61.685,62.470000000000006,0.7850000000000037,PASS
31–60,R8,8,Toxicity,9.618,0.16119088063535073,9.335,9.719999999999999,0.384999999999998,PASS
61–90,R10,4,CAZ PTA,93.14500000000001,0.05244044240850392,93.075,93.195,0.11999999999999034,PASS
61–90,R10,4,AVI attainment,88.57700000000001,0.23023357704731395,88.265,88.775,0.5100000000000051,PASS
61–90,R10,4,Joint PTA,87.97300000000001,0.25657844804269864,87.665,88.29,0.625,PASS
61–90,R10,4,Toxicity,10.659,0.2046154930595432,10.345,10.89,0.5449999999999999,PASS
61–90,R10,8,CAZ PTA,64.81,0.4379212257929496,64.425,65.515,1.0900000000000034,REVIEW
61–90,R10,8,AVI attainment,88.57700000000001,0.23023357704731395,88.265,88.775,0.5100000000000051,PASS
61–90,R10,8,Joint PTA,64.78999999999999,0.4399147644714853,64.395,65.495,1.1000000000000085,REVIEW
61–90,R10,8,Toxicity,10.659,0.2046154930595432,10.345,10.89,0.5449999999999999,PASS
91–120,R12,4,CAZ PTA,94.175,0.18435699064586397,93.955,94.405,0.45000000000000284,PASS
91–120,R12,4,AVI attainment,88.31999999999998,0.24864633518313128,87.91499999999999,88.535,0.6200000000000045,PASS
91–120,R12,4,Joint PTA,87.98,0.22915606036062233,87.63499999999999,88.19,0.5550000000000068,PASS
91–120,R12,4,Toxicity,12.169,0.3200663993611322,11.675,12.504999999999999,0.8299999999999983,PASS
91–120,R12,8,CAZ PTA,67.699,0.28198847494179763,67.415,68.11500000000001,0.7000000000000028,PASS
91–120,R12,8,AVI attainment,88.31999999999998,0.24864633518313128,87.91499999999999,88.535,0.6200000000000045,PASS
91–120,R12,8,Joint PTA,67.64199999999998,0.27439934402254096,67.35,68.045,0.6950000000000074,PASS
91–120,R12,8,Toxicity,12.169,0.3200663993611322,11.675,12.504999999999999,0.8299999999999983,PASS
121–150,R13,4,CAZ PTA,90.26700000000001,0.2608783241283188,89.925,90.61,0.6850000000000023,PASS
121–150,R13,4,AVI attainment,80.789,0.5608185981224227,80.12,81.485,1.3649999999999949,REVIEW
121–150,R13,4,Joint PTA,80.40299999999999,0.5495634631232316,79.78,81.13,1.3499999999999943,REVIEW
121–150,R13,4,Toxicity,7.188,0.1772921318051089,6.93,7.33,0.40000000000000036,PASS
121–150,R13,8,CAZ PTA,57.076,0.5296744283047841,56.425000000000004,57.815000000000005,1.3900000000000006,REVIEW
121–150,R13,8,AVI attainment,80.789,0.5608185981224227,80.12,81.485,1.3649999999999949,REVIEW
121–150,R13,8,Joint PTA,56.976,0.5432011597925744,56.30500000000001,57.74,1.4349999999999952,REVIEW
121–150,R13,8,Toxicity,7.188,0.1772921318051089,6.93,7.33,0.40000000000000036,PASS
