Regimen,EKFC class,Product dose (g),Interval (h),MIC (mg/L),CAZ PTA (%),AVI attainment (%),Joint PTA (%),CAZ toxicity (%)
R1,0–30,0.625,12,0.0625,100,74.88,74.88,8.924999999999999
R1,0–30,0.625,12,0.125,100,74.88,74.88,8.924999999999999
R1,0–30,0.625,12,0.25,100,74.88,74.88,8.924999999999999
R1,0–30,0.625,12,0.5,99.94,74.88,74.88,8.924999999999999
R1,0–30,0.625,12,1,99.13499999999999,74.88,74.88,8.924999999999999
R1,0–30,0.625,12,2,92.08,74.88,74.86500000000001,8.924999999999999
R1,0–30,0.625,12,4,68.575,74.88,67.045,8.924999999999999
R1,0–30,0.625,12,8,35.775,74.88,35.775,8.924999999999999
R1,0–30,0.625,12,16,14.344999999999999,74.88,14.344999999999999,8.924999999999999
R1,0–30,0.625,12,32,4.984999999999999,74.88,4.984999999999999,8.924999999999999
R1,0–30,0.625,12,64,1.7399999999999998,74.88,1.7399999999999998,8.924999999999999
R2,0–30,0.625,8,0.0625,100,87.38,87.38,16.009999999999998
R2,0–30,0.625,8,0.125,100,87.38,87.38,16.009999999999998
R2,0–30,0.625,8,0.25,100,87.38,87.38,16.009999999999998
R2,0–30,0.625,8,0.5,100,87.38,87.38,16.009999999999998
R2,0–30,0.625,8,1,99.88,87.38,87.38,16.009999999999998
R2,0–30,0.625,8,2,97.63,87.38,87.38,16.009999999999998
R2,0–30,0.625,8,4,84.53,87.38,83.095,16.009999999999998
R2,0–30,0.625,8,8,54.510000000000005,87.38,54.510000000000005,16.009999999999998
R2,0–30,0.625,8,16,24.775,87.38,24.775,16.009999999999998
R2,0–30,0.625,8,32,9.47,87.38,9.47,16.009999999999998
R2,0–30,0.625,8,64,3.3099999999999996,87.38,3.3099999999999996,16.009999999999998
R5,31–60,0.625,8,0.0625,100,44.964999999999996,44.964999999999996,0.245
R5,31–60,0.625,8,0.125,100,44.964999999999996,44.964999999999996,0.245
R5,31–60,0.625,8,0.25,100,44.964999999999996,44.964999999999996,0.245
R5,31–60,0.625,8,0.5,99.935,44.964999999999996,44.964999999999996,0.245
R5,31–60,0.625,8,1,97.875,44.964999999999996,44.964999999999996,0.245
R5,31–60,0.625,8,2,82.75,44.964999999999996,44.964999999999996,0.245
R5,31–60,0.625,8,4,44.345,44.964999999999996,39.28,0.245
R5,31–60,0.625,8,8,10.32,44.964999999999996,10.32,0.245
R5,31–60,0.625,8,16,1.01,44.964999999999996,1.01,0.245
R5,31–60,0.625,8,32,0.03,44.964999999999996,0.03,0.245
R5,31–60,0.625,8,64,0,44.964999999999996,0,0.245
R6,31–60,1.25,12,0.0625,100,61.035,61.035,0.89
R6,31–60,1.25,12,0.125,100,61.035,61.035,0.89
R6,31–60,1.25,12,0.25,100,61.035,61.035,0.89
R6,31–60,1.25,12,0.5,99.995,61.035,61.035,0.89
R6,31–60,1.25,12,1,99.39,61.035,61.035,0.89
R6,31–60,1.25,12,2,91.82000000000001,61.035,61.035,0.89
R6,31–60,1.25,12,4,62.11,61.035,56.38999999999999,0.89
R6,31–60,1.25,12,8,21.85,61.035,21.84,0.89
R6,31–60,1.25,12,16,2.93,61.035,2.93,0.89
R6,31–60,1.25,12,32,0.165,61.035,0.165,0.89
R6,31–60,1.25,12,64,0,61.035,0,0.89
R7,31–60,1.25,8,0.0625,100,80.435,80.435,3.8350000000000004
R7,31–60,1.25,8,0.125,100,80.435,80.435,3.8350000000000004
R7,31–60,1.25,8,0.25,100,80.435,80.435,3.8350000000000004
R7,31–60,1.25,8,0.5,100,80.435,80.435,3.8350000000000004
R7,31–60,1.25,8,1,99.935,80.435,80.435,3.8350000000000004
R7,31–60,1.25,8,2,97.875,80.435,80.435,3.8350000000000004
R7,31–60,1.25,8,4,82.75,80.435,77.89500000000001,3.8350000000000004
R7,31–60,1.25,8,8,44.345,80.435,44.34,3.8350000000000004
R7,31–60,1.25,8,16,10.32,80.435,10.32,3.8350000000000004
R7,31–60,1.25,8,32,1.01,80.435,1.01,3.8350000000000004
R7,31–60,1.25,8,64,0.03,80.435,0.03,3.8350000000000004
R8,31–60,2.5,12,0.0625,100,89.45,89.45,9.335
R8,31–60,2.5,12,0.125,100,89.45,89.45,9.335
R8,31–60,2.5,12,0.25,100,89.45,89.45,9.335
R8,31–60,2.5,12,0.5,100,89.45,89.45,9.335
R8,31–60,2.5,12,1,99.995,89.45,89.45,9.335
R8,31–60,2.5,12,2,99.39,89.45,89.45,9.335
R8,31–60,2.5,12,4,91.82000000000001,89.45,88.28,9.335
R8,31–60,2.5,12,8,62.11,89.45,62.09,9.335
R8,31–60,2.5,12,16,21.85,89.45,21.85,9.335
R8,31–60,2.5,12,32,2.93,89.45,2.93,9.335
R8,31–60,2.5,12,64,0.165,89.45,0.165,9.335
R9,61–90,2.5,12,0.0625,100,73.225,73.225,2.98
R9,61–90,2.5,12,0.125,100,73.225,73.225,2.98
R9,61–90,2.5,12,0.25,100,73.225,73.225,2.98
R9,61–90,2.5,12,0.5,99.995,73.225,73.225,2.98
R9,61–90,2.5,12,1,99.91499999999999,73.225,73.225,2.98
R9,61–90,2.5,12,2,97.315,73.225,73.225,2.98
R9,61–90,2.5,12,4,79.83,73.225,71.64500000000001,2.98
R9,61–90,2.5,12,8,40.085,73.225,40.08,2.98
R9,61–90,2.5,12,16,8.53,73.225,8.53,2.98
R9,61–90,2.5,12,32,0.62,73.225,0.62,2.98
R9,61–90,2.5,12,64,0.04,73.225,0.04,2.98
R10,61–90,2.5,8,0.0625,100,88.405,88.405,10.89
R10,61–90,2.5,8,0.125,100,88.405,88.405,10.89
R10,61–90,2.5,8,0.25,100,88.405,88.405,10.89
R10,61–90,2.5,8,0.5,100,88.405,88.405,10.89
R10,61–90,2.5,8,1,99.995,88.405,88.405,10.89
R10,61–90,2.5,8,2,99.555,88.405,88.405,10.89
R10,61–90,2.5,8,4,93.105,88.405,87.76,10.89
R10,61–90,2.5,8,8,64.945,88.405,64.92999999999999,10.89
R10,61–90,2.5,8,16,23.75,88.405,23.75,10.89
R10,61–90,2.5,8,32,3.485,88.405,3.485,10.89
R10,61–90,2.5,8,64,0.11499999999999999,88.405,0.11499999999999999,10.89
R11,91–120,2.5,8,0.0625,100,78.18,78.18,5.1499999999999995
R11,91–120,2.5,8,0.125,100,78.18,78.18,5.1499999999999995
R11,91–120,2.5,8,0.25,100,78.18,78.18,5.1499999999999995
R11,91–120,2.5,8,0.5,99.995,78.18,78.18,5.1499999999999995
R11,91–120,2.5,8,1,99.95,78.18,78.18,5.1499999999999995
R11,91–120,2.5,8,2,98.77,78.18,78.18,5.1499999999999995
R11,91–120,2.5,8,4,86.905,78.18,77.46,5.1499999999999995
R11,91–120,2.5,8,8,50.690000000000005,78.18,50.665000000000006,5.1499999999999995
R11,91–120,2.5,8,16,13.469999999999999,78.18,13.469999999999999,5.1499999999999995
R11,91–120,2.5,8,32,1.29,78.18,1.29,5.1499999999999995
R11,91–120,2.5,8,64,0.015,78.18,0.015,5.1499999999999995
R12,91–120,2.5,6,0.0625,100,88.46000000000001,88.46000000000001,12.32
R12,91–120,2.5,6,0.125,100,88.46000000000001,88.46000000000001,12.32
R12,91–120,2.5,6,0.25,100,88.46000000000001,88.46000000000001,12.32
R12,91–120,2.5,6,0.5,100,88.46000000000001,88.46000000000001,12.32
R12,91–120,2.5,6,1,99.99,88.46000000000001,88.46000000000001,12.32
R12,91–120,2.5,6,2,99.68,88.46000000000001,88.46000000000001,12.32
