Regimen,EKFC class,Product dose (g),Interval (h),Median CAZ Css,CAZ Css P5,CAZ Css P95,Median AVI Css,AVI Css P5,AVI Css P95,AVI attainment (%),CAZ toxicity (%)
R1,0–30,0.625,12,27.523922164703237,7.978994349368232,150.3913333802481,7.899107277820821,1.9368603414195016,66.3843559364222,74.88,8.924999999999999
R2,0–30,0.625,8,41.285883247054855,11.968491524052348,225.58700007037217,11.848660916731234,2.9052905121292527,99.57653390463331,87.38,16.009999999999998
R5,31–60,0.625,8,17.215608712220988,6.045857376922855,47.743220494274496,3.976354114688008,1.243465678274941,12.449502291396351,44.964999999999996,0.245
R6,31–60,1.25,12,22.95414494962798,8.061143169230474,63.65762732569932,5.301805486250677,1.657954237699921,16.599336388528464,61.035,0.89
R7,31–60,1.25,8,34.431217424441975,12.09171475384571,95.48644098854899,7.952708229376016,2.486931356549882,24.899004582792703,80.435,3.8350000000000004
R8,31–60,2.5,12,45.90828989925596,16.12228633846095,127.31525465139865,10.603610972501354,3.315908475399842,33.19867277705693,89.45,9.335
R9,61–90,2.5,12,31.99981487569658,11.362718400541409,90.0967044899281,6.731410270080357,2.1455570235448476,20.602702170235666,73.225,2.98
R10,61–90,2.5,8,47.99972231354487,17.044077600812113,135.14505673489217,10.097115405120537,3.218335535317271,30.904053255353496,88.405,10.89
R11,91–120,2.5,8,38.02802491553048,13.640124981973225,104.63123398845889,7.42387503240564,2.4028511484382125,22.701551613420765,78.18,5.1499999999999995
R12,91–120,2.5,6,50.7040332207073,18.186833309297633,139.50831198461182,9.89850004320752,3.20380153125095,30.268735484561013,88.46000000000001,12.32
R13,121–150,2.5,6,42.20322203257507,15.300184247652602,117.6785762554107,7.869616431299626,2.5658177814171212,24.415928193120337,81.245,7.33
