Policy,Policy description,Regimen,EKFC,Distribution ID,Distribution,Draws,P(Joint CFR ≥90),P(Joint CFR ≥80),P(Toxicity ≤15),P(Joint ≥80 and Toxicity ≤15)
POLICY_BASE,CAZ target 4; AVI CT 4,R1,0–30,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0,0.043333333333333335,0.96,0.043333333333333335
POLICY_BASE,CAZ target 4; AVI CT 4,R1,0–30,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0,0.06333333333333334,0.96,0.06333333333333334
POLICY_BASE,CAZ target 4; AVI CT 4,R1,0–30,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0,0.013333333333333334,0.96,0.013333333333333334
POLICY_BASE,CAZ target 4; AVI CT 4,R1,0–30,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0,0.12666666666666668,0.96,0.12
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R1,0–30,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0.2733333333333333,1,0.96,0.96
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R1,0–30,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0.52,1,0.96,0.96
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R1,0–30,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0.2633333333333333,1,0.96,0.96
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R1,0–30,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0.7666666666666667,1,0.96,0.96
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R1,0–30,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0,0,0.96,0
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R1,0–30,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0,0,0.96,0
