Regimen,EKFC,Dose g,Interval h,Distribution ID,Distribution,P(Joint ≥90),P(Joint ≥80),P(Tox ≤15),P(Efficacy + Safety),Verdict
R1,0–30,0.625,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",0,0.043333333333333335,0.96,0.043333333333333335,FRAGILE
R1,0–30,0.625,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",0,0.06333333333333334,0.96,0.06333333333333334,FRAGILE
R1,0–30,0.625,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",0,0.013333333333333334,0.96,0.013333333333333334,FRAGILE
R1,0–30,0.625,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",0,0.12666666666666668,0.96,0.12,FRAGILE
R8,31–60,2.5,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",0.33666666666666667,0.9833333333333333,0.8466666666666667,0.83,CONDITIONALLY ROBUST
R8,31–60,2.5,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",0.31,0.9733333333333334,0.8466666666666667,0.82,CONDITIONALLY ROBUST
R8,31–60,2.5,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",0.17666666666666667,0.93,0.8466666666666667,0.7833333333333333,CONDITIONALLY ROBUST
R8,31–60,2.5,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",0.42,0.99,0.8466666666666667,0.8366666666666667,CONDITIONALLY ROBUST
R10,61–90,2.5,8,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",0.26,0.9566666666666667,0.7466666666666667,0.71,CONDITIONALLY ROBUST
R10,61–90,2.5,8,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",0.24666666666666667,0.9433333333333334,0.7466666666666667,0.7,CONDITIONALLY ROBUST
R10,61–90,2.5,8,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",0.12333333333333334,0.8666666666666667,0.7466666666666667,0.6333333333333333,FRAGILE
R10,61–90,2.5,8,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",0.34,0.9766666666666667,0.7466666666666667,0.7266666666666667,CONDITIONALLY ROBUST
R12,91–120,2.5,6,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",0.26666666666666666,0.9566666666666667,0.66,0.63,FRAGILE
R12,91–120,2.5,6,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",0.25666666666666665,0.95,0.66,0.6266666666666667,FRAGILE
R12,91–120,2.5,6,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",0.13333333333333333,0.8733333333333333,0.66,0.5733333333333334,FRAGILE
R12,91–120,2.5,6,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",0.3433333333333333,0.9666666666666667,0.66,0.6333333333333333,FRAGILE
R13,121–150,2.5,6,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",0.023333333333333334,0.4766666666666667,0.9366666666666666,0.44,FRAGILE
R13,121–150,2.5,6,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",0.016666666666666666,0.4666666666666667,0.9366666666666666,0.43333333333333335,FRAGILE
R13,121–150,2.5,6,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",0.0033333333333333335,0.34,0.9366666666666666,0.32666666666666666,FRAGILE
R13,121–150,2.5,6,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",0.06,0.5233333333333333,0.9366666666666666,0.48333333333333334,FRAGILE
