distribution_id,population,role,mic_mg_l,frequency,weight_provenance
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,0.0625,0.45000000312989535,recovered_by_inversion
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,0.125,0.0,recovered_by_inversion
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,0.25,0.0,recovered_by_inversion
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,0.5,0.13333332999209604,recovered_by_inversion
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,1.0,0.2500000002335362,recovered_by_inversion
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,2.0,0.1499999999757807,recovered_by_inversion
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,4.0,0.01666666666869159,recovered_by_inversion
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,8.0,0.0,recovered_by_inversion
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,16.0,0.0,recovered_by_inversion
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,32.0,0.0,recovered_by_inversion
FR2024_OXA484_SERINE_ONLY,French OXA-484-producing Enterobacterales without NDM co-production,PREFERRED_FRENCH_SENSITIVITY,64.0,0.0,recovered_by_inversion
INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India ATLAS 2018–2019",SENSITIVITY_DONOR,0.0625,0.014705885096355361,recovered_by_inversion
