drug,plasma_mg_L,dimelow_ratio,applied_ratio,overstatement_pct
ceftazidime,8.0,0.5696,0.52,-8.7
ceftazidime,15.3,0.5218,0.52,-0.4
ceftazidime,20.0,0.4951,0.52,5.0
ceftazidime,30.0,0.4464,0.52,16.5
ceftazidime,40.0,0.4064,0.52,27.9
ceftazidime,50.0,0.3730,0.52,39.4
ceftazidime,60.0,0.3447,0.52,50.8
ceftazidime,70.0,0.3204,0.52,62.3
ceftazidime,80.0,0.2993,0.52,73.8
ceftazidime,90.0,0.2808,0.52,85.2
ceftazidime,104.0,0.2584,0.52,101.2
ceftazidime,120.0,0.2368,0.52,119.6
ceftazidime,150.0,0.2048,0.52,153.9
avibactam,1.0,0.4700,0.42,-10.6
avibactam,2.4,0.4200,0.42,0.0
avibactam,4.0,0.3933,0.42,6.8
avibactam,6.0,0.3734,0.42,12.5
avibactam,8.0,0.3598,0.42,16.7
avibactam,10.0,0.3496,0.42,20.1
avibactam,12.0,0.3415,0.42,23.0
avibactam,15.0,0.3319,0.42,26.5
avibactam,20.0,0.3198,0.42,31.3
avibactam,25.0,0.3108,0.42,35.1
avibactam,30.0,0.3036,0.42,38.3
