table,drug,parameter,unit,dose_group,dataset,n,mean,sd,median,ci90_low,ci90_high
Table1,n/a,age,year,all,observed,4,53.2,14.3,45.5,44,78
Table1,n/a,ideal_body_weight,kg,all,observed,4,77.5,8.29,75.0,70,90
Table1,n/a,serum_creatinine,mg/dL,all,observed,4,1.02,0.32,1.10,0.40,1.30
Table1,n/a,CrCL4h,mL/min,all,observed,4,9.17,7.31,10.0,5,20
Table1,n/a,serum_albumin,g/dL,all,observed,4,2.78,0.46,2.70,2.2,5.9
Table1,n/a,serum_Hb,g/dL,all,observed,4,7.60,1.35,7.90,5.0,8.1
Table1,n/a,daily_fluid_balance,L,all,observed,4,0.49,1.31,0.45,-1.7,2.4
Table1,n/a,APACHE_II_score,score,all,observed,4,15.6,4.50,17,16,20
Table2,CAZ,Cmax,mg/L,2000_500mg_q8h,observed,4,,,70.2,40.1,77.2
Table2,CAZ,Cmax,mg/L,2000_500mg_q8h,simulated,10000,,,69.5,35.8,137
Table2,CAZ,Cmin,mg/L,2000_500mg_q8h,observed,4,,,41.0,30.3,59.0
Table2,CAZ,Cmin,mg/L,2000_500mg_q8h,simulated,10000,,,12.0,4.33,54.3
Table2,CAZ,t_half,h,2000_500mg_q8h,observed,4,,,12.0,8.05,28.1
Table2,CAZ,t_half,h,2000_500mg_q8h,simulated,10000,,,2.55,2.02,8.77
Table2,CAZ,CLss,L/h,2000_500mg_q8h,observed,4,,,4.61,4.00,7.32
Table2,CAZ,CLss,L/h,2000_500mg_q8h,simulated,10000,,,7.18,3.04,15.3
Table2,CAZ,Vss,L,2000_500mg_q8h,observed,4,,,107,53.1,173
Table2,CAZ,Vss,L,2000_500mg_q8h,simulated,10000,,,24.6,33.2,43.3
Table2,CAZ,AUCtau,mg.h/L,2000_500mg_q8h,observed,4,,,440,278,500
Table2,CAZ,AUCtau,mg.h/L,2000_500mg_q8h,simulated,10000,,,279,130,657
Table2,CAZ,Cmax,mg/L,1000_250mg_q8h,observed,2,,,33.9,31.6,36.2
Table2,CAZ,Cmax,mg/L,1000_250mg_q8h,simulated,10000,,,58.7,30.9,118
Table2,CAZ,Cmin,mg/L,1000_250mg_q8h,observed,2,,,18.5,15.9,21.1
Table2,CAZ,Cmin,mg/L,1000_250mg_q8h,simulated,10000,,,26.7,13.1,71.3
Table2,CAZ,t_half,h,1000_250mg_q8h,observed,2,,,9.04,6.38,11.7
Table2,CAZ,t_half,h,1000_250mg_q8h,simulated,10000,,,5.97,5.09,13.8
Table2,CAZ,CLss,L/h,1000_250mg_q8h,observed,2,,,4.54,4.34,4.74
Table2,CAZ,CLss,L/h,1000_250mg_q8h,simulated,10000,,,3.05,1.41,5.93
Table2,CAZ,Vss,L,1000_250mg_q8h,observed,2,,,58.2,37.4,79.1
Table2,CAZ,Vss,L,1000_250mg_q8h,simulated,10000,,,25.6,26.6,42.8
Table2,CAZ,AUCtau,mg.h/L,1000_250mg_q8h,observed,2,,,220,211,230
Table2,CAZ,AUCtau,mg.h/L,1000_250mg_q8h,simulated,10000,,,328,168,709
Table2,AVI,Cmax,mg/L,2000_500mg_q8h,observed,4,,,7.76,4.13,8.55
Table2,AVI,Cmax,mg/L,2000_500mg_q8h,simulated,10000,,,13.3,4.77,36.8
Table2,AVI,Cmin,mg/L,2000_500mg_q8h,observed,4,,,3.99,2.80,6.07
Table2,AVI,Cmin,mg/L,2000_500mg_q8h,simulated,10000,,,1.19,0.38,7.07
Table2,AVI,t_half,h,2000_500mg_q8h,observed,4,,,7.05,4.21,30.0
Table2,AVI,t_half,h,2000_500mg_q8h,simulated,10000,,,2.02,1.54,4.75
Table2,AVI,CLss,L/h,2000_500mg_q8h,observed,4,,,10.3,9.29,18.6
Table2,AVI,CLss,L/h,2000_500mg_q8h,simulated,10000,,,11.4,3.71,29.8
Table2,AVI,Vss,L,2000_500mg_q8h,observed,4,,,177,65.0,432
Table2,AVI,Vss,L,2000_500mg_q8h,simulated,10000,,,27.8,18.5,68.5
Table2,AVI,AUCtau,mg.h/L,2000_500mg_q8h,observed,4,,,48.9,28.2,53.8
Table2,AVI,AUCtau,mg.h/L,2000_500mg_q8h,simulated,10000,,,43.9,16.8,134
Table2,AVI,Cmax,mg/L,1000_250mg_q8h,observed,2,,,3.71,3.50,3.92
Table2,AVI,Cmax,mg/L,1000_250mg_q8h,simulated,10000,,,10.3,3.66,29.3
Table2,AVI,Cmin,mg/L,1000_250mg_q8h,observed,2,,,1.72,1.65,1.80
Table2,AVI,Cmin,mg/L,1000_250mg_q8h,simulated,10000,,,3.05,1.17,10.6
Table2,AVI,t_half,h,1000_250mg_q8h,observed,2,,,5.81,4.82,6.81
Table2,AVI,t_half,h,1000_250mg_q8h,simulated,10000,,,3.76,3.57,6.89
Table2,AVI,CLss,L/h,1000_250mg_q8h,observed,2,,,11.0,10.2,11.9
Table2,AVI,CLss,L/h,1000_250mg_q8h,simulated,10000,,,5.13,1.80,13.7
Table2,AVI,Vss,L,1000_250mg_q8h,observed,2,,,97.0,73.6,120
Table2,AVI,Vss,L,1000_250mg_q8h,simulated,10000,,,26.5,15.5,70.2
Table2,AVI,AUCtau,mg.h/L,1000_250mg_q8h,observed,2,,,22.7,21.0,24.5
Table2,AVI,AUCtau,mg.h/L,1000_250mg_q8h,simulated,10000,,,48.7,18.3,138
