table,drug,parameter,unit,condition,mean,sd
Table2,CAZ,Cmax,mg/L,during_CVVH,145.7,22.25
Table2,CAZ,Cmax,mg/L,outside_CVVH,324,38.33
Table2,CAZ,Cmin,mg/L,during_CVVH,66.03,5.62
Table2,CAZ,Cmin,mg/L,outside_CVVH,237.14,25.14
Table2,CAZ,t_half,h,during_CVVH,6.44,1.03
Table2,CAZ,t_half,h,outside_CVVH,19.91,1.33
Table2,CAZ,AUC0_8,mg.h/L,during_CVVH,823.41,100.2
Table2,CAZ,AUC0_8,mg.h/L,outside_CVVH,2249.93,259.22
Table2,CAZ,CL,L/h,during_CVVH,2.46,0.29
Table2,CAZ,CL,L/h,outside_CVVH,0.9,0.11
Table2,CAZ,Vss,L,during_CVVH,22.49,3.84
Table2,CAZ,Vss,L,outside_CVVH,25.64,2.58
Table2,AVI,Cmax,mg/L,during_CVVH,29.14,5.56
Table2,AVI,Cmax,mg/L,outside_CVVH,65.17,5.53
Table2,AVI,Cmin,mg/L,during_CVVH,14.29,1.99
Table2,AVI,Cmin,mg/L,outside_CVVH,47.49,4.07
Table2,AVI,t_half,h,during_CVVH,7.55,2.2
Table2,AVI,t_half,h,outside_CVVH,33.08,7.8
Table2,AVI,AUC0_8,mg.h/L,during_CVVH,176.21,28.34
Table2,AVI,AUC0_8,mg.h/L,outside_CVVH,459.81,30.88
Table2,AVI,CL,L/h,during_CVVH,2.89,0.41
Table2,AVI,CL,L/h,outside_CVVH,1.09,0.08
Table2,AVI,Vss,L,during_CVVH,31.85,12.14
Table2,AVI,Vss,L,outside_CVVH,52.2,13.6
