clearance_rho,induced_attainment_phi,frechet_bound_phi,pct_of_bound_reached,caz_pta_pct,avi_pta_pct,accuracy_infer_pct,accuracy_measure_pct,gain_pp,inference_catches_up
0.300,0.2171,0.5225,40.8,57.70,82.32,82.86,100.00,17.14,NO
0.400,0.2650,0.5205,50.8,57.70,82.37,83.32,100.00,16.68,NO
0.500,0.3110,0.5230,60.3,57.70,82.45,83.89,100.00,16.11,NO
0.600,0.3647,0.5232,69.9,57.70,82.47,84.91,100.00,15.09,NO
0.703,0.4075,0.5196,79.7,57.70,82.38,86.53,100.00,13.47,NO
0.800,0.4525,0.5193,88.0,57.70,82.48,88.68,100.00,11.32,NO
0.900,0.4998,0.5192,97.0,57.70,82.61,91.79,100.00,8.21,NO
0.940,0.5083,0.5170,99.2,57.70,82.77,93.65,100.00,6.35,NO
0.970,0.5153,0.5176,99.9,57.70,82.70,95.35,100.00,4.65,NO
0.990,0.5195,0.5203,100.0,57.70,82.63,97.38,100.00,2.62,NO
