rho,ofv,delta_ofv,in_95_interval
0.05,-711.2476563356747,11.108158798381055,no
0.15,-713.6972125746389,8.658602559416863,no
0.25,-715.9440866909327,6.411728443123025,no
0.35,-717.9811691060343,4.374646028021516,no
0.45,-719.7735903564277,2.5822247776280847,yes
0.55,-721.2380860158025,1.1177291182532372,yes
0.65,-722.1900590998523,0.16575603420346852,yes
0.703,-722.3558138193428,1.3147130175639177e-06,yes
0.75,-722.186109496435,0.16970563762072288,yes
0.8,-721.4931827678033,0.8626323662524555,yes
0.85,-719.8958656252838,2.459949508771956,yes
0.88,-718.1709407440882,4.184874389967604,no
0.91,-715.394881327726,6.960933806329763,no
0.94,-710.5715924059165,11.784222728139298,no
0.96,-704.8660813308944,17.489733803161357,no
