replicate,scenario,rho_true,rho_estimated,cl_caz,cl_avi,ofv
1,"correct, rho = 0.94",0.94,0.9934,2.3694,3.1086,-748.918
2,"correct, rho = 0.94",0.94,0.9636,2.4403,3.0839,-805.573
3,"correct, rho = 0.94",0.94,0.9961,2.6316,3.2889,-759.467
4,"correct, rho = 0.94",0.94,0.9312,2.4729,3.135,-738.949
5,"correct, rho = 0.94",0.94,0.9587,2.6007,3.2648,-746.834
6,"correct, rho = 0.94",0.94,0.9258,2.7183,3.4172,-774.939
7,"correct, rho = 0.94",0.94,0.9539,2.6976,3.3928,-724.23
1,correctly specified,0.7031,0.6613,2.7824,3.3958,-717.737
2,correctly specified,0.7031,0.7582,2.4314,3.1604,-740.638
3,correctly specified,0.7031,0.6701,2.6506,3.1651,-765.247
4,correctly specified,0.7031,0.6351,2.452,3.2065,-724.585
5,correctly specified,0.7031,0.8373,2.4285,3.1391,-769.355
6,correctly specified,0.7031,0.6893,2.59,3.2622,-727.704
7,correctly specified,0.7031,0.7886,2.6689,3.2587,-715.529
8,correctly specified,0.7031,0.7421,2.5217,3.3148,-732.522
9,correctly specified,0.7031,0.7436,2.5753,3.1346,-722.888
10,correctly specified,0.7031,0.4955,2.6029,3.0226,-716.541
11,correctly specified,0.7031,0.8107,2.5106,3.2455,-711.348
12,correctly specified,0.7031,0.398,2.5447,3.1644,-778.839
13,correctly specified,0.7031,0.7651,2.7321,3.392,-707.126
14,correctly specified,0.7031,0.8081,2.6817,3.2196,-759.404
15,correctly specified,0.7031,0.6646,2.4285,3.1934,-721.058
16,correctly specified,0.7031,0.7664,2.5385,3.1277,-754.307
17,correctly specified,0.7031,0.7993,2.5042,3.1191,-716.501
18,correctly specified,0.7031,0.7764,2.5716,3.1346,-745.552
19,correctly specified,0.7031,0.5622,2.6632,3.3768,-727.569
20,correctly specified,0.7031,0.5441,2.4917,3.2484,-756.876
21,correctly specified,0.7031,0.8738,2.4455,3.2028,-760.4
22,correctly specified,0.7031,0.753,2.6166,3.1794,-788.619
23,correctly specified,0.7031,0.8907,2.6803,3.2224,-721.895
24,correctly specified,0.7031,0.7613,2.5084,3.1628,-716.212
25,correctly specified,0.7031,0.8352,2.5712,3.2178,-736.216
1,two-compartment truth,0.7031,0.6883,2.6058,3.1672,-716.025
2,two-compartment truth,0.7031,0.8434,2.4977,3.0275,-715.356
3,two-compartment truth,0.7031,0.6047,2.5732,3.1256,-693.725
4,two-compartment truth,0.7031,0.691,2.5038,3.1577,-729.28
5,two-compartment truth,0.7031,0.7379,2.6477,3.3596,-710.712
6,two-compartment truth,0.7031,0.8196,2.6323,3.3269,-730.455
7,two-compartment truth,0.7031,0.8833,2.4835,3.1643,-755.437
8,two-compartment truth,0.7031,0.5049,2.3781,3.0573,-733.913
9,two-compartment truth,0.7031,0.7897,2.5635,3.2061,-759.87
10,two-compartment truth,0.7031,0.7051,2.4627,3.2643,-738.178
11,two-compartment truth,0.7031,0.8228,2.7467,3.2781,-762.442
12,two-compartment truth,0.7031,0.8024,2.9108,3.4726,-767.911
13,two-compartment truth,0.7031,0.9003,2.3452,3.0442,-732.384
14,two-compartment truth,0.7031,0.7977,2.6673,3.4375,-675.598
15,two-compartment truth,0.7031,0.7218,2.51,3.337,-731.102
16,two-compartment truth,0.7031,0.6806,2.5988,3.2074,-789.148
17,two-compartment truth,0.7031,0.7564,2.5809,3.3946,-789.823
18,two-compartment truth,0.7031,0.6144,2.8093,3.2189,-708.157
19,two-compartment truth,0.7031,0.8145,2.4577,3.0085,-740.81
20,two-compartment truth,0.7031,0.5633,2.4135,3.1725,-714.763
21,two-compartment truth,0.7031,0.6994,2.4893,3.2125,-683.63
22,two-compartment truth,0.7031,0.7827,2.5266,3.3315,-720.055
23,two-compartment truth,0.7031,0.3667,2.4425,3.2213,-744.356
24,two-compartment truth,0.7031,0.6571,2.5927,3.2567,-717.31
25,two-compartment truth,0.7031,0.8508,2.5183,3.2373,-739.419
8,"correct, rho = 0.94",0.94,0.9038,2.785,3.3101,-748.475
9,"correct, rho = 0.94",0.94,0.9137,2.4652,3.1419,-788.847
10,"correct, rho = 0.94",0.94,0.9604,2.6725,3.3831,-770.326
11,"correct, rho = 0.94",0.94,0.9474,2.5873,3.2099,-756.905
12,"correct, rho = 0.94",0.94,0.9376,2.4666,3.1887,-717.829
13,"correct, rho = 0.94",0.94,0.9647,2.528,3.1942,-739.296
14,"correct, rho = 0.94",0.94,0.9735,2.7253,3.3076,-720.142
15,"correct, rho = 0.94",0.94,0.9469,2.4182,3.1531,-755.956
16,"correct, rho = 0.94",0.94,0.9564,2.5941,3.1747,-793.181
17,"correct, rho = 0.94",0.94,0.9623,2.4678,3.0788,-750.15
18,"correct, rho = 0.94",0.94,0.9235,2.5281,3.2279,-738.36
19,"correct, rho = 0.94",0.94,1.0,2.6258,3.3183,-797.269
20,"correct, rho = 0.94",0.94,0.9378,2.4374,3.1488,-743.933
21,"correct, rho = 0.94",0.94,0.9509,2.6553,3.1688,-761.494
22,"correct, rho = 0.94",0.94,0.9067,2.4881,3.1484,-756.86
23,"correct, rho = 0.94",0.94,0.918,2.3499,3.0297,-737.481
24,"correct, rho = 0.94",0.94,1.0,2.5974,3.2645,-717.967
25,"correct, rho = 0.94",0.94,0.9205,2.6446,3.3078,-729.062
