analyte,time_h,n_obs,obs_p5,obs_p50,obs_p95,sim_p5,sim_p50,sim_p95,pct_obs_within_sim_90
caz,0.0,21,41.49999999999999,62.00000000000001,96.5,34.07431385208297,64.41069496113866,107.6268554698152,95.23809523809523
caz,1.0,3,107.89999999999996,115.99999999999999,166.39999999999995,107.85356567248655,148.6468343192494,205.74959848760375,66.66666666666666
caz,2.0,11,84.75,158.00000000000003,204.5,98.80660902120191,136.33682681256136,186.81348091346953,54.54545454545454
caz,3.0,21,79.99999999999997,133.0,175.00000000000006,88.31609574909953,124.32910097500901,173.77672738780038,76.19047619047619
caz,4.0,21,74.99999999999997,111.99999999999996,146.99999999999997,74.90625887081552,108.75548809680637,155.32275397399943,95.23809523809523
caz,5.0,1,90.50000000000003,90.50000000000003,90.50000000000003,61.181606140952404,92.36572815928585,137.15932153161424,100.0
caz,6.0,20,57.32499999999999,86.49999999999999,114.30000000000003,51.43952650704433,83.61169899264496,128.35876655607268,95.0
caz,8.0,21,44.50000000000001,62.00000000000001,89.49999999999999,34.476278336369255,64.30051464384871,106.7349495901156,100.0
avi,0.0,21,7.999999999999998,13.5,19.499999999999996,8.671504943615657,13.324420028413291,19.26697027916244,76.19047619047619
avi,1.0,3,21.05,21.499999999999996,28.250000000000004,22.222931536934837,28.531354476562065,36.60070900921511,33.33333333333333
avi,2.0,11,16.25,29.500000000000004,37.49999999999999,20.652862273429907,26.438649879405208,33.878460039982684,63.63636363636363
avi,3.0,21,15.999999999999998,23.500000000000004,30.5,18.71572757796595,24.386735478030253,31.529297844068704,80.95238095238095
avi,4.0,21,15.499999999999998,21.499999999999996,26.5,16.307088145652354,21.531832591072593,28.22933926771804,90.47619047619048
avi,5.0,1,17.999999999999996,17.999999999999996,17.999999999999996,14.117120962064938,18.57542195774773,24.24338768218904,100.0
avi,6.0,20,12.925,16.75,21.05,12.084284847187973,16.97410159424996,23.217968513551412,95.0
avi,8.0,21,9.500000000000002,14.5,15.999999999999998,8.700328794929797,13.285513067553616,19.21507158897925,100.0
