rho_scenario,target_scenario,ekfc_class,parameter,evppi_pp
C1_cojutti,T1_point_1,0–30,rho,0.0
C1_cojutti,T1_point_1,31–60,rho,0.0
C1_cojutti,T1_point_1,61–90,rho,0.0
C1_cojutti,T1_point_1,91–120,rho,0.0
C1_cojutti,T1_point_1,121–150,rho,0.0
C1_cojutti,T1_point_1,0–30,cl0_avi,0.0
C1_cojutti,T1_point_1,31–60,cl0_avi,0.0
C1_cojutti,T1_point_1,61–90,cl0_avi,0.0
C1_cojutti,T1_point_1,91–120,cl0_avi,0.0
C1_cojutti,T1_point_1,121–150,cl0_avi,0.0
C1_cojutti,T1_point_1,0–30,omega_avi,0.0
C1_cojutti,T1_point_1,31–60,omega_avi,0.0
C1_cojutti,T1_point_1,61–90,omega_avi,0.0
C1_cojutti,T1_point_1,91–120,omega_avi,0.0
C1_cojutti,T1_point_1,121–150,omega_avi,0.0
C1_cojutti,T1_point_1,0–30,cl0_caz,0.0
C1_cojutti,T1_point_1,31–60,cl0_caz,0.038
C1_cojutti,T1_point_1,61–90,cl0_caz,0.0
C1_cojutti,T1_point_1,91–120,cl0_caz,0.0
C1_cojutti,T1_point_1,121–150,cl0_caz,0.0
C1_cojutti,T1_point_1,0–30,fu_avi,0.0
C1_cojutti,T1_point_1,31–60,fu_avi,0.0
C1_cojutti,T1_point_1,61–90,fu_avi,0.0
C1_cojutti,T1_point_1,91–120,fu_avi,0.0
C1_cojutti,T1_point_1,121–150,fu_avi,0.0
C1_cojutti,T2_point_4,0–30,rho,0.0
C1_cojutti,T2_point_4,31–60,rho,0.0
C1_cojutti,T2_point_4,61–90,rho,0.0
C1_cojutti,T2_point_4,91–120,rho,0.002
C1_cojutti,T2_point_4,121–150,rho,0.0
C1_cojutti,T2_point_4,0–30,cl0_avi,0.0
C1_cojutti,T2_point_4,31–60,cl0_avi,0.0
C1_cojutti,T2_point_4,61–90,cl0_avi,0.0
C1_cojutti,T2_point_4,91–120,cl0_avi,0.001
C1_cojutti,T2_point_4,121–150,cl0_avi,0.0
C1_cojutti,T2_point_4,0–30,omega_avi,0.0
C1_cojutti,T2_point_4,31–60,omega_avi,0.019
C1_cojutti,T2_point_4,61–90,omega_avi,0.002
C1_cojutti,T2_point_4,91–120,omega_avi,0.034
C1_cojutti,T2_point_4,121–150,omega_avi,0.0
C1_cojutti,T2_point_4,0–30,cl0_caz,0.0
C1_cojutti,T2_point_4,31–60,cl0_caz,0.0
C1_cojutti,T2_point_4,61–90,cl0_caz,0.0
C1_cojutti,T2_point_4,91–120,cl0_caz,0.0
C1_cojutti,T2_point_4,121–150,cl0_caz,0.0
C1_cojutti,T2_point_4,0–30,fu_avi,0.0
C1_cojutti,T2_point_4,31–60,fu_avi,0.0
C1_cojutti,T2_point_4,61–90,fu_avi,0.0
C1_cojutti,T2_point_4,91–120,fu_avi,0.0
C1_cojutti,T2_point_4,121–150,fu_avi,0.0
C1_cojutti,T3_discrete,0–30,rho,0.013
C1_cojutti,T3_discrete,31–60,rho,0.002
C1_cojutti,T3_discrete,61–90,rho,0.015
C1_cojutti,T3_discrete,91–120,rho,0.0
C1_cojutti,T3_discrete,121–150,rho,0.0
C1_cojutti,T3_discrete,0–30,target,1.823
C1_cojutti,T3_discrete,31–60,target,1.214
C1_cojutti,T3_discrete,61–90,target,2.467
C1_cojutti,T3_discrete,91–120,target,0.971
C1_cojutti,T3_discrete,121–150,target,0.0
C1_cojutti,T3_discrete,0–30,cl0_avi,0.067
C1_cojutti,T3_discrete,31–60,cl0_avi,0.004
C1_cojutti,T3_discrete,61–90,cl0_avi,0.034
C1_cojutti,T3_discrete,91–120,cl0_avi,0.003
C1_cojutti,T3_discrete,121–150,cl0_avi,0.0
C1_cojutti,T3_discrete,0–30,omega_avi,0.004
C1_cojutti,T3_discrete,31–60,omega_avi,0.0
C1_cojutti,T3_discrete,61–90,omega_avi,0.008
C1_cojutti,T3_discrete,91–120,omega_avi,0.0
C1_cojutti,T3_discrete,121–150,omega_avi,0.0
C1_cojutti,T3_discrete,0–30,cl0_caz,0.146
C1_cojutti,T3_discrete,31–60,cl0_caz,0.015
C1_cojutti,T3_discrete,61–90,cl0_caz,0.226
C1_cojutti,T3_discrete,91–120,cl0_caz,0.0
C1_cojutti,T3_discrete,121–150,cl0_caz,0.0
C1_cojutti,T3_discrete,0–30,fu_avi,0.023
C1_cojutti,T3_discrete,31–60,fu_avi,0.0
C1_cojutti,T3_discrete,61–90,fu_avi,0.001
C1_cojutti,T3_discrete,91–120,fu_avi,0.0
C1_cojutti,T3_discrete,121–150,fu_avi,0.0
C1_cojutti,T4_uniform,0–30,rho,0.087
C1_cojutti,T4_uniform,31–60,rho,0.0
C1_cojutti,T4_uniform,61–90,rho,0.02
C1_cojutti,T4_uniform,91–120,rho,0.0
C1_cojutti,T4_uniform,121–150,rho,0.0
C1_cojutti,T4_uniform,0–30,target,1.164
C1_cojutti,T4_uniform,31–60,target,0.42
C1_cojutti,T4_uniform,61–90,target,1.322
C1_cojutti,T4_uniform,91–120,target,0.242
C1_cojutti,T4_uniform,121–150,target,0.0
C1_cojutti,T4_uniform,0–30,cl0_avi,0.154
C1_cojutti,T4_uniform,31–60,cl0_avi,0.005
C1_cojutti,T4_uniform,61–90,cl0_avi,0.06
C1_cojutti,T4_uniform,91–120,cl0_avi,0.001
C1_cojutti,T4_uniform,121–150,cl0_avi,0.0
C1_cojutti,T4_uniform,0–30,omega_avi,0.088
C1_cojutti,T4_uniform,31–60,omega_avi,0.001
C1_cojutti,T4_uniform,61–90,omega_avi,0.183
C1_cojutti,T4_uniform,91–120,omega_avi,0.0
C1_cojutti,T4_uniform,121–150,omega_avi,0.0
C1_cojutti,T4_uniform,0–30,cl0_caz,0.212
C1_cojutti,T4_uniform,31–60,cl0_caz,0.026
C1_cojutti,T4_uniform,61–90,cl0_caz,0.2
C1_cojutti,T4_uniform,91–120,cl0_caz,0.004
C1_cojutti,T4_uniform,121–150,cl0_caz,0.0
C1_cojutti,T4_uniform,0–30,fu_avi,0.114
C1_cojutti,T4_uniform,31–60,fu_avi,0.0
C1_cojutti,T4_uniform,61–90,fu_avi,0.076
C1_cojutti,T4_uniform,91–120,fu_avi,0.0
C1_cojutti,T4_uniform,121–150,fu_avi,0.0
C1_cojutti,T5_triangular,0–30,rho,0.0
C1_cojutti,T5_triangular,31–60,rho,0.0
C1_cojutti,T5_triangular,61–90,rho,0.0
C1_cojutti,T5_triangular,91–120,rho,0.0
C1_cojutti,T5_triangular,121–150,rho,0.0
C1_cojutti,T5_triangular,0–30,target,0.383
C1_cojutti,T5_triangular,31–60,target,0.084
C1_cojutti,T5_triangular,61–90,target,0.328
C1_cojutti,T5_triangular,91–120,target,0.036
C1_cojutti,T5_triangular,121–150,target,0.0
C1_cojutti,T5_triangular,0–30,cl0_avi,0.002
C1_cojutti,T5_triangular,31–60,cl0_avi,0.0
C1_cojutti,T5_triangular,61–90,cl0_avi,0.0
C1_cojutti,T5_triangular,91–120,cl0_avi,0.0
C1_cojutti,T5_triangular,121–150,cl0_avi,0.0
C1_cojutti,T5_triangular,0–30,omega_avi,0.0
C1_cojutti,T5_triangular,31–60,omega_avi,0.0
C1_cojutti,T5_triangular,61–90,omega_avi,0.0
C1_cojutti,T5_triangular,91–120,omega_avi,0.0
C1_cojutti,T5_triangular,121–150,omega_avi,0.0
C1_cojutti,T5_triangular,0–30,cl0_caz,0.02
C1_cojutti,T5_triangular,31–60,cl0_caz,0.004
C1_cojutti,T5_triangular,61–90,cl0_caz,0.01
C1_cojutti,T5_triangular,91–120,cl0_caz,0.0
C1_cojutti,T5_triangular,121–150,cl0_caz,0.0
C1_cojutti,T5_triangular,0–30,fu_avi,0.0
C1_cojutti,T5_triangular,31–60,fu_avi,0.0
C1_cojutti,T5_triangular,61–90,fu_avi,0.0
C1_cojutti,T5_triangular,91–120,fu_avi,0.0
C1_cojutti,T5_triangular,121–150,fu_avi,0.0
C1_cojutti,T6_lognormal,0–30,rho,0.0
C1_cojutti,T6_lognormal,31–60,rho,0.0
C1_cojutti,T6_lognormal,61–90,rho,0.0
C1_cojutti,T6_lognormal,91–120,rho,0.0
C1_cojutti,T6_lognormal,121–150,rho,0.0
C1_cojutti,T6_lognormal,0–30,target,0.646
C1_cojutti,T6_lognormal,31–60,target,0.55
C1_cojutti,T6_lognormal,61–90,target,0.907
C1_cojutti,T6_lognormal,91–120,target,0.417
C1_cojutti,T6_lognormal,121–150,target,0.0
C1_cojutti,T6_lognormal,0–30,cl0_avi,0.0
C1_cojutti,T6_lognormal,31–60,cl0_avi,0.0
C1_cojutti,T6_lognormal,61–90,cl0_avi,0.0
C1_cojutti,T6_lognormal,91–120,cl0_avi,0.0
C1_cojutti,T6_lognormal,121–150,cl0_avi,0.0
C1_cojutti,T6_lognormal,0–30,omega_avi,0.0
C1_cojutti,T6_lognormal,31–60,omega_avi,0.001
C1_cojutti,T6_lognormal,61–90,omega_avi,0.0
C1_cojutti,T6_lognormal,91–120,omega_avi,0.0
C1_cojutti,T6_lognormal,121–150,omega_avi,0.0
C1_cojutti,T6_lognormal,0–30,cl0_caz,0.002
C1_cojutti,T6_lognormal,31–60,cl0_caz,0.002
C1_cojutti,T6_lognormal,61–90,cl0_caz,0.001
C1_cojutti,T6_lognormal,91–120,cl0_caz,0.0
C1_cojutti,T6_lognormal,121–150,cl0_caz,0.0
C1_cojutti,T6_lognormal,0–30,fu_avi,0.0
C1_cojutti,T6_lognormal,31–60,fu_avi,0.0
C1_cojutti,T6_lognormal,61–90,fu_avi,0.0
C1_cojutti,T6_lognormal,91–120,fu_avi,0.0
C1_cojutti,T6_lognormal,121–150,fu_avi,0.0
C1_cojutti,T7_coleman_evidence,0–30,rho,0.0
C1_cojutti,T7_coleman_evidence,31–60,rho,0.002
C1_cojutti,T7_coleman_evidence,61–90,rho,0.0
C1_cojutti,T7_coleman_evidence,91–120,rho,0.0
C1_cojutti,T7_coleman_evidence,121–150,rho,0.0
C1_cojutti,T7_coleman_evidence,0–30,target,0.0
C1_cojutti,T7_coleman_evidence,31–60,target,0.0
C1_cojutti,T7_coleman_evidence,61–90,target,0.0
C1_cojutti,T7_coleman_evidence,91–120,target,0.0
C1_cojutti,T7_coleman_evidence,121–150,target,0.0
C1_cojutti,T7_coleman_evidence,0–30,cl0_avi,0.0
C1_cojutti,T7_coleman_evidence,31–60,cl0_avi,0.0
C1_cojutti,T7_coleman_evidence,61–90,cl0_avi,0.0
C1_cojutti,T7_coleman_evidence,91–120,cl0_avi,0.0
C1_cojutti,T7_coleman_evidence,121–150,cl0_avi,0.0
C1_cojutti,T7_coleman_evidence,0–30,omega_avi,0.0
C1_cojutti,T7_coleman_evidence,31–60,omega_avi,0.0
C1_cojutti,T7_coleman_evidence,61–90,omega_avi,0.0
C1_cojutti,T7_coleman_evidence,91–120,omega_avi,0.0
C1_cojutti,T7_coleman_evidence,121–150,omega_avi,0.0
C1_cojutti,T7_coleman_evidence,0–30,cl0_caz,0.0
C1_cojutti,T7_coleman_evidence,31–60,cl0_caz,0.261
C1_cojutti,T7_coleman_evidence,61–90,cl0_caz,0.0
C1_cojutti,T7_coleman_evidence,91–120,cl0_caz,0.0
C1_cojutti,T7_coleman_evidence,121–150,cl0_caz,0.0
C1_cojutti,T7_coleman_evidence,0–30,fu_avi,0.0
C1_cojutti,T7_coleman_evidence,31–60,fu_avi,0.0
C1_cojutti,T7_coleman_evidence,61–90,fu_avi,0.0
C1_cojutti,T7_coleman_evidence,91–120,fu_avi,0.0
C1_cojutti,T7_coleman_evidence,121–150,fu_avi,0.0
C2_model1,T1_point_1,0–30,rho,0.0
C2_model1,T1_point_1,31–60,rho,0.0
C2_model1,T1_point_1,61–90,rho,0.0
C2_model1,T1_point_1,91–120,rho,0.0
C2_model1,T1_point_1,121–150,rho,0.0
C2_model1,T1_point_1,0–30,cl0_avi,0.0
C2_model1,T1_point_1,31–60,cl0_avi,0.0
C2_model1,T1_point_1,61–90,cl0_avi,0.0
C2_model1,T1_point_1,91–120,cl0_avi,0.0
C2_model1,T1_point_1,121–150,cl0_avi,0.0
C2_model1,T1_point_1,0–30,omega_avi,0.0
C2_model1,T1_point_1,31–60,omega_avi,0.001
C2_model1,T1_point_1,61–90,omega_avi,0.0
C2_model1,T1_point_1,91–120,omega_avi,0.0
C2_model1,T1_point_1,121–150,omega_avi,0.0
C2_model1,T1_point_1,0–30,cl0_caz,0.0
C2_model1,T1_point_1,31–60,cl0_caz,0.023
C2_model1,T1_point_1,61–90,cl0_caz,0.0
C2_model1,T1_point_1,91–120,cl0_caz,0.0
C2_model1,T1_point_1,121–150,cl0_caz,0.0
C2_model1,T1_point_1,0–30,fu_avi,0.0
C2_model1,T1_point_1,31–60,fu_avi,0.0
C2_model1,T1_point_1,61–90,fu_avi,0.0
C2_model1,T1_point_1,91–120,fu_avi,0.0
C2_model1,T1_point_1,121–150,fu_avi,0.0
C2_model1,T2_point_4,0–30,rho,0.0
C2_model1,T2_point_4,31–60,rho,0.0
C2_model1,T2_point_4,61–90,rho,0.0
C2_model1,T2_point_4,91–120,rho,0.0
C2_model1,T2_point_4,121–150,rho,0.0
C2_model1,T2_point_4,0–30,cl0_avi,0.0
C2_model1,T2_point_4,31–60,cl0_avi,0.0
C2_model1,T2_point_4,61–90,cl0_avi,0.0
C2_model1,T2_point_4,91–120,cl0_avi,0.001
C2_model1,T2_point_4,121–150,cl0_avi,0.0
C2_model1,T2_point_4,0–30,omega_avi,0.0
C2_model1,T2_point_4,31–60,omega_avi,0.012
C2_model1,T2_point_4,61–90,omega_avi,0.0
C2_model1,T2_point_4,91–120,omega_avi,0.029
C2_model1,T2_point_4,121–150,omega_avi,0.0
C2_model1,T2_point_4,0–30,cl0_caz,0.0
C2_model1,T2_point_4,31–60,cl0_caz,0.0
C2_model1,T2_point_4,61–90,cl0_caz,0.0
C2_model1,T2_point_4,91–120,cl0_caz,0.0
C2_model1,T2_point_4,121–150,cl0_caz,0.0
C2_model1,T2_point_4,0–30,fu_avi,0.0
C2_model1,T2_point_4,31–60,fu_avi,0.0
C2_model1,T2_point_4,61–90,fu_avi,0.0
C2_model1,T2_point_4,91–120,fu_avi,0.0
