rho_scenario,target_scenario,regimen,ekfc_class,joint_cfr_median,joint_cfr_p2.5,joint_cfr_p97.5,prediction_interval_width_pp,p_permissible_pct,p_joint_cfr_ge_80_pct
C1_cojutti,T1_point_1,R1,0–30,92.69,85.18,96.78,11.59,82.2,99.9
C1_cojutti,T1_point_1,R2,0–30,96.64,91.0,98.73,7.73,34.6,100.0
C1_cojutti,T1_point_1,R5,31–60,85.72,76.34,91.86,15.52,99.9,89.5
C1_cojutti,T1_point_1,R6,31–60,91.48,83.09,95.88,12.79,99.2,99.4
C1_cojutti,T1_point_1,R7,31–60,96.23,89.74,98.46,8.72,93.0,100.0
C1_cojutti,T1_point_1,R8,31–60,97.98,93.09,99.15,6.06,72.2,100.0
C1_cojutti,T1_point_1,R9,61–90,95.41,88.44,98.18,9.74,96.0,100.0
C1_cojutti,T1_point_1,R10,61–90,98.09,93.07,99.22,6.15,69.0,100.0
C1_cojutti,T1_point_1,R11,91–120,97.06,91.1,98.79,7.68,90.6,100.0
C1_cojutti,T1_point_1,R12,91–120,98.41,94.04,99.3,5.26,62.4,100.0
C1_cojutti,T1_point_1,R13,121–150,97.26,91.09,98.97,7.88,86.4,100.0
C1_cojutti,T2_point_4,R1,0–30,73.34,59.84,84.29,24.45,82.2,13.4
C1_cojutti,T2_point_4,R2,0–30,85.93,74.8,94.55,19.75,34.6,84.7
C1_cojutti,T2_point_4,R5,31–60,43.98,31.33,53.2,21.87,99.9,0.0
C1_cojutti,T2_point_4,R6,31–60,58.95,49.54,72.2,22.66,99.2,0.1
C1_cojutti,T2_point_4,R7,31–60,78.65,65.56,91.92,26.35,93.0,42.0
C1_cojutti,T2_point_4,R8,31–60,88.61,73.94,97.1,23.16,72.2,87.4
C1_cojutti,T2_point_4,R9,61–90,72.2,61.42,87.02,25.6,96.0,13.9
C1_cojutti,T2_point_4,R10,61–90,87.91,73.5,97.0,23.5,69.0,84.4
C1_cojutti,T2_point_4,R11,91–120,78.77,65.46,92.36,26.9,90.6,43.5
C1_cojutti,T2_point_4,R12,91–120,88.54,74.54,97.82,23.29,62.4,88.3
C1_cojutti,T2_point_4,R13,121–150,78.42,64.11,94.11,30.0,86.4,42.4
C1_cojutti,T3_discrete,R1,0–30,90.86,62.9,96.69,33.8,81.9,71.2
C1_cojutti,T3_discrete,R2,0–30,95.45,77.37,98.68,21.32,34.2,94.8
C1_cojutti,T3_discrete,R5,31–60,83.76,35.71,92.0,56.28,99.7,61.9
C1_cojutti,T3_discrete,R6,31–60,89.58,51.83,95.8,43.96,99.1,66.4
C1_cojutti,T3_discrete,R7,31–60,94.94,68.39,98.38,29.99,93.8,80.2
C1_cojutti,T3_discrete,R8,31–60,97.14,77.47,99.1,21.63,72.4,95.7
C1_cojutti,T3_discrete,R9,61–90,94.02,63.85,98.07,34.22,95.7,70.9
C1_cojutti,T3_discrete,R10,61–90,97.26,77.51,99.17,21.65,68.7,95.0
C1_cojutti,T3_discrete,R11,91–120,96.08,68.82,98.76,29.94,89.7,79.9
C1_cojutti,T3_discrete,R12,91–120,97.77,78.87,99.28,20.41,64.0,96.5
C1_cojutti,T3_discrete,R13,121–150,96.26,67.53,98.94,31.41,85.5,79.7
C1_cojutti,T4_uniform,R1,0–30,86.97,69.17,95.95,26.78,81.3,76.8
C1_cojutti,T4_uniform,R2,0–30,93.97,80.17,98.41,18.24,32.6,97.7
C1_cojutti,T4_uniform,R5,31–60,70.58,42.63,90.41,47.79,99.9,30.1
C1_cojutti,T4_uniform,R6,31–60,82.3,57.4,95.05,37.65,99.1,54.8
C1_cojutti,T4_uniform,R7,31–60,92.27,72.73,98.13,25.4,93.3,90.1
C1_cojutti,T4_uniform,R8,31–60,96.03,81.27,99.01,17.74,70.3,98.2
C1_cojutti,T4_uniform,R9,61–90,89.92,68.15,97.75,29.6,95.9,79.6
C1_cojutti,T4_uniform,R10,61–90,95.94,80.68,99.09,18.41,67.4,97.9
C1_cojutti,T4_uniform,R11,91–120,93.13,73.74,98.55,24.81,90.1,90.4
C1_cojutti,T4_uniform,R12,91–120,96.75,82.13,99.2,17.07,61.3,98.4
C1_cojutti,T4_uniform,R13,121–150,93.67,72.44,98.74,26.3,85.8,88.6
C1_cojutti,T5_triangular,R1,0–30,89.99,74.37,96.2,21.83,81.3,91.3
C1_cojutti,T5_triangular,R2,0–30,95.4,84.06,98.5,14.45,32.6,99.4
C1_cojutti,T5_triangular,R5,31–60,79.22,50.42,91.18,40.76,99.9,47.3
C1_cojutti,T5_triangular,R6,31–60,87.48,63.67,95.36,31.69,99.1,76.4
C1_cojutti,T5_triangular,R7,31–60,94.49,78.48,98.25,19.77,93.3,96.7
C1_cojutti,T5_triangular,R8,31–60,97.1,85.51,99.05,13.53,70.3,99.4
C1_cojutti,T5_triangular,R9,61–90,93.03,74.11,97.93,23.82,95.9,92.7
C1_cojutti,T5_triangular,R10,61–90,97.09,85.08,99.15,14.07,67.4,99.3
C1_cojutti,T5_triangular,R11,91–120,95.51,79.0,98.66,19.66,90.1,97.0
C1_cojutti,T5_triangular,R12,91–120,97.69,86.27,99.25,12.98,61.3,99.5
C1_cojutti,T5_triangular,R13,121–150,95.7,78.02,98.85,20.84,85.8,96.3
C1_cojutti,T6_lognormal,R1,0–30,91.68,56.93,96.78,39.85,81.8,89.6
C1_cojutti,T6_lognormal,R2,0–30,96.1,74.16,98.69,24.53,33.2,95.8
C1_cojutti,T6_lognormal,R5,31–60,84.11,27.2,92.45,65.25,99.8,65.9
C1_cojutti,T6_lognormal,R6,31–60,90.23,41.17,96.05,54.88,99.2,81.8
C1_cojutti,T6_lognormal,R7,31–60,95.62,60.58,98.46,37.88,93.2,92.6
