lambda,ekfc_class,chosen_regimen_net_benefit,chosen_regimen_hard_15pct_ceiling,agree
0.0,0–30,R2,R1,NO
0.0,31–60,R8,R8,yes
0.0,61–90,R10,R10,yes
0.0,91–120,R12,R12,yes
0.0,121–150,R13,R13,yes
0.5,0–30,R2,R1,NO
0.5,31–60,R8,R8,yes
0.5,61–90,R10,R10,yes
0.5,91–120,R12,R12,yes
0.5,121–150,R13,R13,yes
1.0,0–30,R2,R1,NO
1.0,31–60,R8,R8,yes
1.0,61–90,R10,R10,yes
1.0,91–120,R12,R12,yes
1.0,121–150,R13,R13,yes
2.0,0–30,R1,R1,yes
2.0,31–60,R7,R8,NO
2.0,61–90,R10,R10,yes
2.0,91–120,R11,R12,NO
2.0,121–150,R13,R13,yes
4.0,0–30,R1,R1,yes
4.0,31–60,R7,R8,NO
4.0,61–90,R9,R10,NO
4.0,91–120,R11,R12,NO
4.0,121–150,R13,R13,yes
