rho_scenario,target_scenario,ekfc_class,fixed_threshold_regimen,p_misselection_pct,expected_regret_pp,regret_p95_pp,max_regret_pp,evpi_pp,modal_optimal_regimen
C1_cojutti,T1_point_1,0–30,R2,91.5,3.206,6.519,9.281,0.104,R1
C1_cojutti,T1_point_1,31–60,R8,93.5,4.359,9.372,15.587,0.605,R7
C1_cojutti,T1_point_1,61–90,R10,93.8,4.491,7.625,11.389,0.081,R9
C1_cojutti,T1_point_1,91–120,R12,97.4,4.885,7.733,10.484,0.023,R11
C1_cojutti,T1_point_1,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C1_cojutti,T2_point_4,0–30,R2,2.7,0.022,0.0,3.491,0.022,R2
C1_cojutti,T2_point_4,31–60,R8,9.7,0.13,0.831,6.734,0.13,R8
C1_cojutti,T2_point_4,61–90,R10,1.8,0.026,0.0,6.633,0.026,R10
C1_cojutti,T2_point_4,91–120,R12,14.2,0.19,1.295,8.842,0.19,R12
C1_cojutti,T2_point_4,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C1_cojutti,T3_discrete,0–30,R2,62.1,2.292,6.509,11.148,1.899,R1
C1_cojutti,T3_discrete,31–60,R8,65.5,3.076,9.009,15.115,1.685,R7
C1_cojutti,T3_discrete,61–90,R10,63.7,3.106,7.457,9.955,2.505,R9
C1_cojutti,T3_discrete,91–120,R12,69.6,3.353,7.521,11.722,1.035,R11
C1_cojutti,T3_discrete,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C1_cojutti,T4_uniform,0–30,R2,51.8,1.508,5.746,10.795,1.508,R1
C1_cojutti,T4_uniform,31–60,R8,68.1,2.422,7.318,14.898,0.997,R7
C1_cojutti,T4_uniform,61–90,R10,57.0,2.215,6.874,11.158,1.714,R9
C1_cojutti,T4_uniform,91–120,R12,75.2,2.907,7.106,10.131,0.558,R11
C1_cojutti,T4_uniform,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C1_cojutti,T5_triangular,0–30,R2,70.3,2.138,6.15,10.795,0.726,R1
C1_cojutti,T5_triangular,31–60,R8,82.5,3.251,8.395,15.087,0.64,R7
C1_cojutti,T5_triangular,61–90,R10,75.9,3.095,7.292,11.284,0.673,R9
C1_cojutti,T5_triangular,91–120,R12,89.1,3.792,7.365,10.137,0.196,R11
C1_cojutti,T5_triangular,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C1_cojutti,T6_lognormal,0–30,R2,76.2,2.627,6.365,10.371,0.884,R1
C1_cojutti,T6_lognormal,31–60,R8,82.8,3.58,8.936,14.849,1.056,R7
C1_cojutti,T6_lognormal,61–90,R10,79.3,3.595,7.535,10.799,1.142,R9
C1_cojutti,T6_lognormal,91–120,R12,87.2,4.047,7.499,11.189,0.547,R11
C1_cojutti,T6_lognormal,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C1_cojutti,T7_coleman_evidence,0–30,R2,93.0,3.663,7.107,11.148,0.079,R1
C1_cojutti,T7_coleman_evidence,31–60,R8,96.2,4.784,10.031,15.569,0.735,R7
C1_cojutti,T7_coleman_evidence,61–90,R10,96.5,4.923,7.998,10.223,0.02,R9
C1_cojutti,T7_coleman_evidence,91–120,R12,98.6,5.105,7.867,11.877,0.004,R11
C1_cojutti,T7_coleman_evidence,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C2_model1,T1_point_1,0–30,R2,90.6,3.113,6.464,9.252,0.119,R1
C2_model1,T1_point_1,31–60,R8,93.2,4.246,9.163,15.392,0.556,R7
C2_model1,T1_point_1,61–90,R10,93.8,4.428,7.608,11.39,0.089,R9
C2_model1,T1_point_1,91–120,R12,97.0,4.815,7.683,10.505,0.025,R11
C2_model1,T1_point_1,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C2_model1,T2_point_4,0–30,R2,2.1,0.015,0.0,3.55,0.015,R2
C2_model1,T2_point_4,31–60,R8,8.1,0.105,0.529,6.573,0.105,R8
C2_model1,T2_point_4,61–90,R10,0.9,0.016,0.0,6.404,0.016,R10
C2_model1,T2_point_4,91–120,R12,11.9,0.165,1.241,8.691,0.165,R12
C2_model1,T2_point_4,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C2_model1,T3_discrete,0–30,R2,61.6,2.252,6.477,11.148,1.981,R1
C2_model1,T3_discrete,31–60,R8,65.3,3.015,8.833,15.106,1.679,R7
C2_model1,T3_discrete,61–90,R10,63.5,3.079,7.434,9.94,2.584,R9
C2_model1,T3_discrete,91–120,R12,68.9,3.314,7.448,11.751,1.095,R11
C2_model1,T3_discrete,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C2_model1,T4_uniform,0–30,R2,49.4,1.393,5.683,10.795,1.393,R2
C2_model1,T4_uniform,31–60,R8,66.3,2.28,6.957,14.725,1.004,R7
C2_model1,T4_uniform,61–90,R10,53.4,2.065,6.804,11.182,1.915,R9
C2_model1,T4_uniform,91–120,R12,74.4,2.788,6.966,10.137,0.583,R11
C2_model1,T4_uniform,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C2_model1,T5_triangular,0–30,R2,67.3,1.997,6.11,10.795,0.813,R1
C2_model1,T5_triangular,31–60,R8,81.2,3.087,8.199,14.967,0.619,R7
C2_model1,T5_triangular,61–90,R10,73.5,2.937,7.201,11.246,0.798,R9
C2_model1,T5_triangular,91–120,R12,89.0,3.681,7.279,10.137,0.203,R11
C2_model1,T5_triangular,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C2_model1,T6_lognormal,0–30,R2,74.1,2.54,6.347,10.351,0.935,R1
C2_model1,T6_lognormal,31–60,R8,82.3,3.476,8.879,14.849,1.038,R7
C2_model1,T6_lognormal,61–90,R10,78.0,3.509,7.499,10.799,1.196,R9
C2_model1,T6_lognormal,91–120,R12,87.0,3.973,7.461,11.189,0.561,R11
C2_model1,T6_lognormal,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C2_model1,T7_coleman_evidence,0–30,R2,93.0,3.66,7.114,11.148,0.079,R1
C2_model1,T7_coleman_evidence,31–60,R8,96.2,4.779,10.031,15.569,0.731,R7
C2_model1,T7_coleman_evidence,61–90,R10,96.5,4.922,7.99,10.223,0.02,R9
C2_model1,T7_coleman_evidence,91–120,R12,98.6,5.103,7.864,11.877,0.004,R11
C2_model1,T7_coleman_evidence,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C3_agnostic,T1_point_1,0–30,R2,90.7,3.08,6.386,10.263,0.106,R1
C3_agnostic,T1_point_1,31–60,R8,94.3,4.19,8.909,13.599,0.48,R7
C3_agnostic,T1_point_1,61–90,R10,94.2,4.426,7.654,10.512,0.064,R9
C3_agnostic,T1_point_1,91–120,R12,98.0,4.823,7.73,11.374,0.012,R11
C3_agnostic,T1_point_1,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C3_agnostic,T2_point_4,0–30,R2,1.7,0.014,0.0,2.986,0.014,R2
C3_agnostic,T2_point_4,31–60,R8,7.0,0.083,0.347,4.774,0.083,R8
C3_agnostic,T2_point_4,61–90,R10,0.5,0.006,0.0,2.677,0.006,R10
C3_agnostic,T2_point_4,91–120,R12,12.0,0.151,1.18,5.219,0.151,R12
C3_agnostic,T2_point_4,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C3_agnostic,T3_discrete,0–30,R2,61.0,2.219,6.34,10.886,2.072,R1
C3_agnostic,T3_discrete,31–60,R8,65.0,3.022,8.885,15.121,1.712,R7
C3_agnostic,T3_discrete,61–90,R10,63.5,3.119,7.507,9.865,2.659,R9
C3_agnostic,T3_discrete,91–120,R12,68.3,3.361,7.511,11.65,1.114,R11
C3_agnostic,T3_discrete,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C3_agnostic,T4_uniform,0–30,R2,46.7,1.32,5.489,9.393,1.32,R2
C3_agnostic,T4_uniform,31–60,R8,63.5,2.25,7.28,14.686,1.118,R7
C3_agnostic,T4_uniform,61–90,R10,52.0,2.029,6.875,11.143,2.029,R9
C3_agnostic,T4_uniform,91–120,R12,72.8,2.735,6.972,10.066,0.673,R11
C3_agnostic,T4_uniform,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C3_agnostic,T5_triangular,0–30,R2,64.8,1.9,5.826,9.503,0.907,R1
C3_agnostic,T5_triangular,31–60,R8,79.2,3.029,8.088,14.96,0.666,R7
C3_agnostic,T5_triangular,61–90,R10,70.5,2.884,7.223,11.246,0.933,R9
C3_agnostic,T5_triangular,91–120,R12,86.8,3.618,7.258,10.361,0.262,R11
C3_agnostic,T5_triangular,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C3_agnostic,T6_lognormal,0–30,R2,75.6,2.578,6.384,10.279,0.82,R1
C3_agnostic,T6_lognormal,31–60,R8,84.0,3.604,9.253,15.745,0.967,R7
C3_agnostic,T6_lognormal,61–90,R10,80.2,3.615,7.535,11.476,1.051,R9
C3_agnostic,T6_lognormal,91–120,R12,88.3,4.071,7.48,11.533,0.479,R11
C3_agnostic,T6_lognormal,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
C3_agnostic,T7_coleman_evidence,0–30,R2,93.2,3.648,6.937,10.886,0.076,R1
C3_agnostic,T7_coleman_evidence,31–60,R8,96.7,4.816,9.853,15.569,0.729,R7
C3_agnostic,T7_coleman_evidence,61–90,R10,96.9,4.989,7.997,10.84,0.021,R9
C3_agnostic,T7_coleman_evidence,91–120,R12,98.6,5.181,7.906,11.877,0.004,R11
C3_agnostic,T7_coleman_evidence,121–150,R13,0.0,0.0,0.0,0.0,0.0,R13
