rho_scenario,target_scenario,assay_cv_caz_pct,assay_cv_avi_pct,accuracy_infer_median,accuracy_measure_median,accuracy_gain_median_pp,accuracy_gain_p2.5_pp,accuracy_gain_p97.5_pp,p_gain_positive_pct,npv_infer_median,specificity_infer_median,false_reassurance_median_pct,evpi_monitoring_pp,evppi_rho_pp,p_measure_better_pct
C1_cojutti,T2_point_4,0,0,94.42,100.0,5.58,1.61,13.37,100.0,83.98,78.5,3.36,0.0,0.0,100.0
C1_cojutti,T2_point_4,20,20,91.94,95.24,3.15,-1.18,12.14,89.1,74.47,74.48,4.07,0.0869,0.0,89.1
C2_model1,T2_point_4,0,0,88.34,100.0,11.66,3.65,21.8,100.0,69.97,44.14,8.67,0.0,0.0,100.0
C2_model1,T2_point_4,20,20,87.4,95.25,7.66,0.67,19.06,98.6,65.28,44.96,8.74,0.0063,0.0,98.6
C3_agnostic,T2_point_4,0,0,88.7,100.0,11.3,3.6,22.38,100.0,69.35,42.69,8.5,0.0,0.0,100.0
C3_agnostic,T2_point_4,20,20,88.21,95.25,6.75,0.04,19.51,97.8,65.15,44.49,7.94,0.0116,0.0,97.8
C1_cojutti,T4_uniform,0,0,98.12,100.0,1.88,0.0,9.66,95.9,81.06,66.85,1.21,0.0,0.0,95.9
C1_cojutti,T4_uniform,20,20,97.45,98.28,0.61,-0.34,8.36,78.6,66.67,64.8,1.35,0.0308,0.0,78.6
C2_model1,T4_uniform,0,0,96.35,100.0,3.65,0.0,16.86,96.3,67.14,21.92,2.98,0.0,0.0,96.3
C2_model1,T4_uniform,20,20,96.5,98.26,1.5,-0.04,13.33,86.1,59.89,23.24,2.67,0.0032,0.0,86.1
C3_agnostic,T4_uniform,0,0,97.03,100.0,2.97,0.0,16.47,96.0,66.35,20.45,2.4,0.0,0.0,96.0
C3_agnostic,T4_uniform,20,20,96.99,98.32,1.23,-0.09,12.51,83.2,59.46,21.42,2.27,0.0098,0.0,83.2
