rho_scenario,target_scenario,ekfc_class,regimen,p_optimal_pct,is_fixed_threshold_choice,mean_utility
C1_cojutti,T1_point_1,0–30,R1,91.5,no,81.42
C1_cojutti,T1_point_1,0–30,R2,8.6,yes,78.32
C1_cojutti,T1_point_1,31–60,R5,0.2,no,84.35
C1_cojutti,T1_point_1,31–60,R6,31.9,no,88.93
C1_cojutti,T1_point_1,31–60,R7,61.4,no,90.09
C1_cojutti,T1_point_1,31–60,R8,6.5,yes,86.34
C1_cojutti,T1_point_1,61–90,R9,93.8,no,90.18
C1_cojutti,T1_point_1,61–90,R10,6.2,yes,85.77
C1_cojutti,T1_point_1,91–120,R11,97.4,no,89.83
C1_cojutti,T1_point_1,91–120,R12,2.6,yes,84.97
C1_cojutti,T1_point_1,121–150,R13,100.0,yes,88.74
C1_cojutti,T2_point_4,0–30,R1,2.7,no,62.23
C1_cojutti,T2_point_4,0–30,R2,97.3,yes,67.79
C1_cojutti,T2_point_4,31–60,R5,0.0,no,42.47
C1_cojutti,T2_point_4,31–60,R6,0.0,no,57.36
C1_cojutti,T2_point_4,31–60,R7,9.7,no,73.0
C1_cojutti,T2_point_4,31–60,R8,90.3,yes,76.58
C1_cojutti,T2_point_4,61–90,R9,1.8,no,67.94
C1_cojutti,T2_point_4,61–90,R10,98.2,yes,75.31
C1_cojutti,T2_point_4,91–120,R11,14.2,no,72.15
C1_cojutti,T2_point_4,91–120,R12,85.8,yes,74.99
C1_cojutti,T2_point_4,121–150,R13,100.0,yes,70.73
C1_cojutti,T3_discrete,0–30,R1,62.1,no,75.14
C1_cojutti,T3_discrete,0–30,R2,38.0,yes,74.75
C1_cojutti,T3_discrete,31–60,R5,0.4,no,71.1
C1_cojutti,T3_discrete,31–60,R6,22.9,no,78.77
C1_cojutti,T3_discrete,31–60,R7,42.2,no,84.46
C1_cojutti,T3_discrete,31–60,R8,34.5,yes,83.07
C1_cojutti,T3_discrete,61–90,R9,63.7,no,82.93
C1_cojutti,T3_discrete,61–90,R10,36.3,yes,82.33
C1_cojutti,T3_discrete,91–120,R11,69.6,no,84.01
C1_cojutti,T3_discrete,91–120,R12,30.4,yes,81.69
C1_cojutti,T3_discrete,121–150,R13,100.0,yes,82.83
C1_cojutti,T4_uniform,0–30,R1,51.8,no,74.61
C1_cojutti,T4_uniform,0–30,R2,48.1,yes,74.64
C1_cojutti,T4_uniform,31–60,R5,0.1,no,68.06
