rho_scenario,rho,probability_band,pct_patients_measured,accuracy_pct
published 0.94,0.94,0.0,93.43,94.92
published 0.94,0.94,0.025,28.91,95.29
published 0.94,0.94,0.05,24.22,95.28
published 0.94,0.94,0.075,21.37,95.25
published 0.94,0.94,0.1,19.13,95.27
published 0.94,0.94,0.125,17.13,95.13
published 0.94,0.94,0.15,15.38,94.95
published 0.94,0.94,0.175,13.63,94.84
published 0.94,0.94,0.2,12.49,94.7
published 0.94,0.94,0.225,11.22,94.53
published 0.94,0.94,0.25,10.01,94.5
published 0.94,0.94,0.275,8.87,94.18
published 0.94,0.94,0.3,7.79,94.03
published 0.94,0.94,0.325,6.71,93.81
published 0.94,0.94,0.35,5.69,93.68
published 0.94,0.94,0.375,4.62,93.44
published 0.94,0.94,0.4,3.77,93.25
published 0.94,0.94,0.425,2.84,92.91
published 0.94,0.94,0.45,1.83,92.68
published 0.94,0.94,0.475,0.96,92.51
published 0.94,0.94,0.5,0.0,92.15
Model 1 0.703,0.703,0.0,99.75,94.92
Model 1 0.703,0.703,0.025,62.98,94.85
Model 1 0.703,0.703,0.05,52.55,94.75
Model 1 0.703,0.703,0.075,45.26,94.63
Model 1 0.703,0.703,0.1,39.83,94.37
Model 1 0.703,0.703,0.125,35.35,94.15
Model 1 0.703,0.703,0.15,31.44,93.86
Model 1 0.703,0.703,0.175,28.03,93.61
Model 1 0.703,0.703,0.2,25.02,93.18
Model 1 0.703,0.703,0.225,22.27,92.83
Model 1 0.703,0.703,0.25,19.7,92.53
Model 1 0.703,0.703,0.275,17.43,92.1
Model 1 0.703,0.703,0.3,15.04,91.79
Model 1 0.703,0.703,0.325,13.06,91.33
Model 1 0.703,0.703,0.35,10.96,90.71
Model 1 0.703,0.703,0.375,8.99,90.31
Model 1 0.703,0.703,0.4,7.24,89.83
Model 1 0.703,0.703,0.425,5.34,89.26
Model 1 0.703,0.703,0.45,3.62,88.78
Model 1 0.703,0.703,0.475,1.75,88.06
Model 1 0.703,0.703,0.5,0.0,87.41
